date,closeprofit,positionprofit,dynbalance,fee
20100416,0,0,0,0
20100419,0,0,0,0
20100420,0,-6959.999999999673,-7004.549999999673,44.55
20100421,0,24360.00000000022,24315.45000000022,44.55
20100422,0,3600.000000000273,3555.4500000002727,44.55
20100423,0,1440.0000000003274,1395.4500000003275,44.55
20100426,0,-6479.999999999836,-6524.5499999998365,44.55
20100427,0,-55799.99999999972,-55844.54999999973,44.55
20100428,0,-60359.99999999967,-60404.549999999675,44.55
20100429,0,-74159.99999999968,-74204.54999999968,44.55
20100430,0,-77039.99999999978,-77084.54999999978,44.55
20100504,0,-95039.99999999978,-95084.54999999978,44.55
20100505,0,-86039.99999999978,-86084.54999999978,44.55
20100506,0,-160439.99999999977,-160484.54999999976,44.55
20100507,0,-199679.99999999983,-199724.5499999998,44.55
20100510,0,-190079.99999999983,-190124.5499999998,44.55
20100511,0,-248639.99999999977,-248684.54999999976,44.55
20100512,0,-235919.99999999988,-235964.54999999987,44.55
20100513,0,-199319.99999999988,-199364.54999999987,44.55
20100514,0,-219599.99999999974,-219644.54999999973,44.55
20100517,0,-309599.9999999997,-309644.5499999997,44.55
20100518,0,-257639.99999999977,-257684.54999999976,44.55
20100519,0,-261959.99999999968,-262004.54999999967,44.55
20100520,0,-285479.9999999998,-285524.5499999998,44.55
20100521,0,-262079.99999999983,-262124.5499999998,44.55
20100524,0,-195959.99999999968,-196004.54999999967,44.55
20100525,0,-237239.99999999977,-237284.54999999976,44.55
20100526,0,-235559.99999999968,-235604.54999999967,44.55
20100527,0,-200039.99999999977,-200084.54999999976,44.55
20100528,0,-215399.99999999974,-215444.54999999973,44.55
20100531,0,-264719.9999999999,-264764.5499999999,44.55
20100601,0,-278399.9999999997,-278444.5499999997,44.55
20100602,0,-272399.9999999997,-272444.5499999997,44.55
20100603,0,-289559.99999999965,-289604.54999999964,44.55
20100604,0,-283799.9999999997,-283844.5499999997,44.55
20100607,0,-313439.99999999977,-313484.54999999976,44.55
20100608,-326519.9999999996,0,-326601.5899999996,81.59
20100609,-326519.9999999996,36240.00000000006,-290399.30999999953,119.31
20100610,-305519.9999999996,0,-305677.5099999996,157.51
20100611,-305519.9999999996,0,-305677.5099999996,157.51
20100617,-305519.9999999996,0,-305677.5099999996,157.51
20100618,-305519.9999999996,0,-305677.5099999996,157.51
20100621,-305519.9999999996,30480.00000000011,-275235.5699999995,195.57
20100622,-305519.9999999996,24600,-281115.5699999996,195.57
20100623,-301919.9999999996,0,-302153.7099999996,233.70999999999998
20100624,-301919.9999999996,-16800,-318992.3099999996,272.31
20100625,-301919.9999999996,-27240.000000000055,-329432.30999999965,272.31
20100628,-334919.9999999996,0,-335230.1499999996,310.15
20100629,-334919.9999999996,68520.00000000016,-266747.7299999994,347.72999999999996
20100630,-334919.9999999996,89520.00000000016,-245747.72999999943,347.72999999999996
20100701,-250079.99999999927,5520.000000000164,-244978.5599999991,418.55999999999995
20100702,-248159.9999999991,0,-248613.7099999991,453.7099999999999
20100705,-248159.9999999991,-8039.999999999782,-256688.7599999989,488.75999999999993
20100706,-248159.9999999991,16560.00000000022,-232088.7599999989,488.75999999999993
20100707,-248159.9999999991,17640.000000000055,-231008.75999999905,488.75999999999993
20100708,-248159.9999999991,17880.00000000011,-230768.759999999,488.75999999999993
20100709,-248159.9999999991,63480.00000000011,-185168.759999999,488.75999999999993
20100712,-248159.9999999991,73800,-174848.7599999991,488.75999999999993
20100713,-248159.9999999991,53880.00000000011,-194768.759999999,488.75999999999993
20100714,-248159.9999999991,61440.00000000006,-187208.75999999905,488.75999999999993
20100715,-248159.9999999991,45000,-203648.7599999991,488.75999999999993
20100716,-248159.9999999991,46800,-201848.7599999991,488.75999999999993
20100719,-248159.9999999991,91440.00000000006,-157208.75999999905,488.75999999999993
20100720,-248159.9999999991,123120.00000000016,-125528.75999999893,488.75999999999993
20100721,-248159.9999999991,120960.00000000022,-127688.75999999887,488.75999999999993
20100722,-248159.9999999991,141600,-107048.75999999909,488.75999999999993
20100723,-248159.9999999991,148200,-100448.75999999909,488.75999999999993
20100726,-248159.9999999991,153120.00000000017,-95528.75999999892,488.75999999999993
20100727,-248159.9999999991,143520.00000000017,-105128.75999999892,488.75999999999993
20100728,-248159.9999999991,203640.00000000006,-45008.75999999904,488.75999999999993
20100729,-248159.9999999991,203520.00000000017,-45128.759999998925,488.75999999999993
20100730,-55559.999999998836,0,-56088.239999998834,528.2399999999999
20100802,-55559.999999998836,12960.000000000218,-43168.379999998615,568.3799999999999
20100803,-55559.99999999856,3720.0000000001637,-52488.1099999984,648.1099999999999
20100804,-55559.99999999856,-8999.999999999727,-65208.10999999828,648.1099999999999
20100805,-55559.99999999856,15120.000000000164,-41088.1099999984,648.1099999999999
20100806,-56159.99999999828,0,-56847.719999998284,687.7199999999999
20100809,-71399.99999999806,0,-72168.10999999807,768.1099999999999
20100810,-71399.99999999806,32160.00000000022,-40047.92999999785,807.93
20100811,-71399.99999999806,25200.000000000273,-47007.92999999779,807.93
20100812,-60719.999999997686,0,-61567.50999999769,847.51
20100813,-60719.999999997686,6480.000000000109,-55126.75999999758,886.76
20100816,-60719.999999997686,51240.00000000006,-10366.759999997628,886.76
20100817,-60719.999999997686,63480.00000000011,1873.240000002423,886.76
20100818,-60719.999999997686,71280.00000000012,9673.24000000243,886.76
20100819,-60719.999999997686,79560.00000000022,17953.240000002534,886.76
20100820,-60719.999999997686,45840.00000000006,-15766.759999997628,886.76
20100823,-28199.999999997523,0,-29126.75999999752,926.76
20100824,-28199.999999997523,0,-29126.75999999752,926.76
20100825,-28199.999999997523,0,-29126.75999999752,926.76
20100826,-28199.999999997523,-16200,-45366.62999999752,966.63
20100827,-28199.999999997523,-12119.99999999989,-41286.62999999741,966.63
20100830,-28199.999999997523,26040.000000000055,-3126.629999997468,966.63
20100831,-28199.999999997523,13680.00000000011,-15486.629999997413,966.63
20100901,-30119.999999997413,0,-31126.459999997413,1006.46
20100902,-30119.999999997413,0,-31126.459999997413,1006.46
20100903,-30119.999999997413,-3600,-34766.77999999741,1046.78
20100906,-30119.999999997413,-37079.99999999984,-68246.77999999725,1046.78
20100907,-30119.999999997413,-41759.99999999994,-72926.77999999735,1046.78
20100908,-30119.999999997413,-44519.99999999989,-75686.7799999973,1046.78
20100909,-30119.999999997413,-12719.99999999989,-43886.77999999731,1046.78
20100910,-30119.999999997413,-13679.999999999836,-44846.77999999725,1046.78
20100913,-30119.999999997413,-29400,-60566.77999999741,1046.78
20100914,-30119.999999997413,-27840.000000000055,-59006.77999999747,1046.78
20100915,-30119.999999997413,720.0000000001637,-30446.77999999725,1046.78
20100916,-30119.999999997413,36600,5433.220000002587,1046.78
20100917,-30119.999999997413,27840.000000000055,-3326.7799999973586,1046.78
20100920,-11159.999999997195,0,-12246.659999997195,1086.66
20100921,-14759.999999996922,0,-15925.949999996923,1165.95
20100927,-14759.999999996922,10320.000000000164,-5645.879999996759,1205.88
20100928,-14639.999999996759,0,-15885.809999996758,1245.8100000000002
20100929,-14639.999999996759,-4919.999999999891,-20845.77999999665,1285.7800000000002
20100930,-14639.999999996759,27480.00000000011,11554.22000000335,1285.7800000000002
20101008,-14639.999999996759,94920.00000000016,78994.2200000034,1285.7800000000002
20101011,-14639.999999996759,143880.00000000012,127954.22000000336,1285.7800000000002
20101012,-14639.999999996759,157800,141874.22000000323,1285.7800000000002
20101013,-14639.999999996759,181680.00000000012,165754.22000000335,1285.7800000000002
20101014,-14639.999999996759,198480.00000000012,182554.22000000335,1285.7800000000002
20101015,-14639.999999996759,287040.00000000006,271114.2200000033,1285.7800000000002
20101018,-14639.999999996759,263640.00000000006,247714.2200000033,1285.7800000000002
20101019,-14639.999999996759,320280.0000000001,304354.22000000335,1285.7800000000002
20101020,-14639.999999996759,330360.00000000023,314434.22000000346,1285.7800000000002
20101021,-14639.999999996759,325800,309874.22000000323,1285.7800000000002
20101022,315960.00000000355,0,314626.6500000036,1333.3500000000001
20101025,315960.00000000355,51360.00000000022,365938.1800000038,1381.8200000000002
20101026,346080.00000000396,0,344649.020000004,1430.9800000000002
20101027,346080.00000000396,0,344649.020000004,1430.9800000000002
20101028,346080.00000000396,0,344649.020000004,1430.9800000000002
20101029,346080.00000000396,25080.00000000011,369681.16000000405,1478.8400000000001
20101101,346080.00000000396,-62759.99999999994,281841.160000004,1478.8400000000001
20101102,346080.00000000396,-21719.99999999989,322881.16000000405,1478.8400000000001
20101103,346080.00000000396,1800,346401.16000000393,1478.8400000000001
20101104,346080.00000000396,-36239.99999999978,308361.16000000417,1478.8400000000001
20101105,265440.0000000042,0,263911.4500000042,1528.5500000000002
20101108,265440.0000000042,0,263911.4500000042,1528.5500000000002
20101109,265440.0000000042,7680.000000000109,271542.3500000043,1577.65
20101110,265440.0000000042,22200,286062.35000000417,1577.65
20101111,285120.0000000043,7920.000000000164,291364.9000000045,1675.1000000000001
20101112,285120.0000000043,126720.00000000016,410164.9000000045,1675.1000000000001
20101115,285120.0000000043,103440.00000000006,386884.9000000044,1675.1000000000001
20101116,285120.0000000043,195000,478444.90000000433,1675.1000000000001
20101117,285120.0000000043,227640.00000000006,511084.9000000044,1675.1000000000001
20101118,285120.0000000043,206520.00000000017,489964.9000000045,1675.1000000000001
20101119,491640.0000000045,0,489920.85000000446,1719.15
20101122,491640.0000000045,-3239.9999999997817,486636.9700000047,1763.0300000000002
20101123,507840.0000000048,0,506033.4600000048,1806.5400000000002
20101124,507840.0000000048,0,506033.4600000048,1806.5400000000002
20101125,507840.0000000048,1800,507788.9500000048,1851.0500000000002
20101126,482880.0000000051,0,480985.02000000514,1894.9800000000002
20101129,457200.0000000053,0,455216.6100000053,1983.3900000000003
20101130,457200.0000000053,5640.000000000055,460812.9000000054,2027.1000000000004
20101201,457200.0000000053,10920.000000000164,466092.9000000055,2027.1000000000004
20101202,434760.00000000553,3240.0000000000546,435884.8400000056,2115.1600000000003
20101203,435600.0000000056,0,433441.0200000056,2158.9800000000005
20101206,435600.0000000056,0,433441.0200000056,2158.9800000000005
20101207,435600.0000000056,-45119.99999999989,388277.6400000057,2202.3600000000006
20101208,435600.0000000056,-20879.999999999836,412517.6400000058,2202.3600000000006
20101209,435600.0000000056,4800.000000000273,438197.6400000059,2202.3600000000006
20101210,425640.00000000594,-4679.999999999836,418670.1800000061,2289.8200000000006
20101213,425640.00000000594,59640.00000000006,482990.180000006,2289.8200000000006
20101214,425640.00000000594,59280.00000000011,482630.18000000605,2289.8200000000006
20101215,477480.0000000063,4920.000000000164,480020.11000000645,2379.890000000001
20101216,477480.0000000063,-1559.9999999999454,473540.11000000633,2379.890000000001
20101217,477480.0000000063,-4919.999999999891,470180.1100000064,2379.890000000001
20101220,456840.0000000065,0,454414.6100000065,2425.390000000001
20101221,456840.0000000065,30600.000000000273,484969.8800000068,2470.120000000001
20101222,473760.000000007,2520.0000000001637,473720.00000000716,2560.000000000001
20101223,464280.00000000716,0,461675.0300000072,2604.9700000000007
20101224,464280.00000000716,0,461675.0300000072,2604.9700000000007
20101227,464280.00000000716,0,461675.0300000072,2604.9700000000007
20101228,464280.00000000716,0,461675.0300000072,2604.9700000000007
20101229,464280.00000000716,0,461675.0300000072,2604.9700000000007
20101230,464280.00000000716,-20519.99999999989,441112.8200000073,2647.1800000000007
20101231,464280.00000000716,-59400,402232.82000000717,2647.1800000000007
20110104,464280.00000000716,-86879.99999999984,374752.82000000734,2647.1800000000007
20110105,464280.00000000716,-76439.99999999978,385192.8200000074,2647.1800000000007
20110106,368520.00000000745,0,365828.4100000074,2691.5900000000006
20110107,368520.00000000745,-7199.999999999727,358584.46000000776,2735.5400000000004
20110110,355200.00000000786,0,352420.82000000787,2779.1800000000003
20110111,355200.00000000786,0,352420.82000000787,2779.1800000000003
20110112,355200.00000000786,0,352420.82000000787,2779.1800000000003
20110113,355200.00000000786,0,352420.82000000787,2779.1800000000003
20110114,355200.00000000786,0,352420.82000000787,2779.1800000000003
20110117,355200.00000000786,0,352420.82000000787,2779.1800000000003
20110118,355200.00000000786,0,352420.82000000787,2779.1800000000003
20110119,355200.00000000786,31680.00000000011,384059.510000008,2820.4900000000002
20110120,355200.00000000786,-22559.999999999945,329819.5100000079,2820.4900000000002
20110121,355200.00000000786,-719.9999999998909,351659.510000008,2820.4900000000002
20110124,344640.0000000082,0,341778.4400000082,2861.5600000000004
20110125,344640.0000000082,0,341778.4400000082,2861.5600000000004
20110126,344640.0000000082,-4559.999999999673,337177.0900000086,2902.9100000000003
20110127,326280.00000000856,0,323336.16000000853,2943.84
20110128,326280.00000000856,-15119.99999999989,308174.47000000865,2985.53
20110131,326280.00000000856,-35880.00000000011,287414.4700000084,2985.53
20110201,326280.00000000856,-36600,286694.4700000085,2985.53
20110209,287160.0000000087,10560.000000000218,294649.6600000089,3070.34
20110210,279720.0000000089,0,276607.2700000089,3112.73
20110211,279720.0000000089,0,276607.2700000089,3112.73
20110214,279720.0000000089,0,276607.2700000089,3112.73
20110215,279720.0000000089,0,276607.2700000089,3112.73
20110216,279720.0000000089,0,276607.2700000089,3112.73
20110217,279720.0000000089,-11640.000000000055,264922.5300000089,3157.47
20110218,278520.0000000089,0,275317.7600000089,3202.24
20110221,278520.0000000089,0,275317.7600000089,3202.24
20110222,278520.0000000089,0,275317.7600000089,3202.24
20110223,278520.0000000089,-8159.999999999945,267114.030000009,3245.97
20110224,278520.0000000089,-15239.999999999782,260034.03000000914,3245.97
20110225,242040.00000000908,0,238749.46000000907,3290.54
20110228,242040.00000000908,-38039.99999999978,200665.41000000932,3334.59
20110301,242040.00000000908,-40079.99999999984,198625.41000000926,3334.59
20110302,242040.00000000908,-32039.99999999978,206665.41000000932,3334.59
20110303,242040.00000000908,-22079.999999999836,216625.41000000926,3334.59
20110304,205800.0000000093,-1439.9999999997817,200935.15000000954,3424.8500000000004
20110307,205800.0000000093,34200.00000000028,236575.1500000096,3424.8500000000004
20110308,232080.0000000097,-12719.99999999989,215843.3000000098,3516.7000000000003
20110309,232080.0000000097,-13679.999999999836,214883.30000000985,3516.7000000000003
20110310,232080.0000000097,21240.000000000055,249803.30000000974,3516.7000000000003
20110311,232080.0000000097,48000,276563.30000000965,3516.7000000000003
20110314,232080.0000000097,33600,262163.30000000965,3516.7000000000003
20110315,232080.0000000097,70800,299363.30000000965,3516.7000000000003
20110316,232080.0000000097,48000,276563.30000000965,3516.7000000000003
20110317,232080.0000000097,67200,295763.30000000965,3516.7000000000003
20110318,232080.0000000097,54240.00000000006,282803.30000000977,3516.7000000000003
20110321,275040.0000000099,0,271478.4200000099,3561.5800000000004
20110322,275040.0000000099,-30000,241434.4700000099,3605.53
20110323,275040.0000000099,-54719.99999999989,216714.47000001,3605.53
20110324,275040.0000000099,-48719.99999999989,222714.47000001,3605.53
20110325,213600.00000001013,0,209949.1100000101,3650.8900000000003
20110328,213600.00000001013,0,209949.1100000101,3650.8900000000003
20110329,213600.00000001013,0,209949.1100000101,3650.8900000000003
20110330,213600.00000001013,0,209949.1100000101,3650.8900000000003
20110331,213600.00000001013,0,209949.1100000101,3650.8900000000003
20110401,213600.00000001013,0,209949.1100000101,3650.8900000000003
20110406,213600.00000001013,0,209949.1100000101,3650.8900000000003
20110407,213600.00000001013,0,209949.1100000101,3650.8900000000003
20110408,213600.00000001013,19559.999999999945,229463.18000001006,3696.82
20110411,213600.00000001013,7200,217103.18000001012,3696.82
20110412,213600.00000001013,-2640.0000000000546,207263.18000001006,3696.82
20110413,213600.00000001013,29159.999999999945,239063.18000001006,3696.82
20110414,237720.0000000103,-4559.999999999945,229370.33000001035,3789.67
20110415,226200.00000001042,0,222363.69000001042,3836.31
20110418,226200.00000001042,0,222363.69000001042,3836.31
20110419,226200.00000001042,0,222363.69000001042,3836.31
20110420,226200.00000001042,960.0000000002183,223278.03000001065,3881.97
20110421,226200.00000001042,-8159.999999999673,214158.03000001074,3881.97
20110422,212280.0000000108,120.00000000016371,208426.42000001098,3973.58
20110425,212280.0000000108,26280.00000000011,234586.42000001093,3973.58
20110426,212280.0000000108,36840.00000000006,245146.42000001087,3973.58
20110427,212280.0000000108,50759.99999999994,259066.42000001072,3973.58
20110428,212280.0000000108,69000,277306.4200000108,3973.58
20110429,212280.0000000108,59880.00000000011,268186.42000001087,3973.58
20110503,212280.0000000108,55440.00000000006,263746.4200000108,3973.58
20110504,212280.0000000108,102720.00000000016,311026.4200000109,3973.58
20110505,212280.0000000108,107880.00000000012,316186.4200000109,3973.58
20110506,212280.0000000108,113159.99999999994,321466.4200000107,3973.58
20110509,212280.0000000108,104759.99999999994,313066.4200000107,3973.58
20110510,306840.000000011,0,302822.970000011,4017.0299999999997
20110511,306840.000000011,0,302822.970000011,4017.0299999999997
20110512,306840.000000011,0,302822.970000011,4017.0299999999997
20110513,306840.000000011,0,302822.970000011,4017.0299999999997
20110516,306840.000000011,0,302822.970000011,4017.0299999999997
20110517,306840.000000011,0,302822.970000011,4017.0299999999997
20110518,306840.000000011,0,302822.970000011,4017.0299999999997
20110519,306840.000000011,0,302822.970000011,4017.0299999999997
20110520,306840.000000011,0,302822.970000011,4017.0299999999997
20110523,306840.000000011,0,302822.970000011,4017.0299999999997
20110524,306840.000000011,0,302822.970000011,4017.0299999999997
20110525,306840.000000011,6120.000000000164,308901.48000001116,4058.5199999999995
20110526,306840.000000011,7680.000000000109,310461.4800000111,4058.5199999999995
20110527,306840.000000011,13200,315981.480000011,4058.5199999999995
20110530,306840.000000011,21959.999999999945,324741.4800000109,4058.5199999999995
20110531,313560.0000000112,0,309460.1500000112,4099.849999999999
20110601,313560.0000000112,0,309460.1500000112,4099.849999999999
20110602,313560.0000000112,0,309460.1500000112,4099.849999999999
20110603,313560.0000000112,0,309460.1500000112,4099.849999999999
20110607,299880.00000001135,0,295697.7100000114,4182.29
20110608,299880.00000001135,-23399.999999999727,272256.80000001163,4223.2
20110609,299880.00000001135,5880.000000000109,301536.80000001146,4223.2
20110610,299880.00000001135,3840.0000000003274,299496.8000000117,4223.2
20110613,312600.00000001176,0,308336.18000001175,4263.82
20110614,312600.00000001176,0,308336.18000001175,4263.82
20110615,312600.00000001176,8759.999999999945,317055.0800000117,4304.92
20110616,312600.00000001176,32280.00000000011,340575.0800000119,4304.92
20110617,312600.00000001176,45359.99999999994,353655.0800000117,4304.92
20110620,367920.00000001193,0,363575.25000001193,4344.75
20110621,367920.00000001193,0,363575.25000001193,4344.75
20110622,367920.00000001193,0,363575.25000001193,4344.75
20110623,367920.00000001193,0,363575.25000001193,4344.75
20110624,367920.00000001193,0,363575.25000001193,4344.75
20110627,367920.00000001193,2400,365933.28000001196,4386.72
20110628,367920.00000001193,480.00000000010914,364013.2800000121,4386.72
20110629,367920.00000001193,17759.999999999945,381293.2800000119,4386.72
20110630,367920.00000001193,-1680.0000000001091,361853.28000001184,4386.72
20110701,367920.00000001193,-2759.9999999999454,360773.280000012,4386.72
20110704,343320.00000001193,0,338890.75000001193,4429.25
20110705,343320.00000001193,0,338890.75000001193,4429.25
20110706,343320.00000001193,-3719.999999999891,335127.88000001205,4472.12
20110707,323280.00000001217,0,318764.55000001215,4515.45
20110708,323280.00000001217,-8399.999999999727,310321.37000001245,4558.63
20110711,305880.00000001246,0,301278.5900000125,4601.41
20110712,305880.00000001246,0,301278.5900000125,4601.41
20110713,305880.00000001246,0,301278.5900000125,4601.41
20110714,305880.00000001246,0,301278.5900000125,4601.41
20110715,305880.00000001246,0,301278.5900000125,4601.41
20110718,305880.00000001246,0,301278.5900000125,4601.41
20110719,305880.00000001246,0,301278.5900000125,4601.41
20110720,305880.00000001246,0,301278.5900000125,4601.41
20110721,305880.00000001246,-239.99999999978172,300996.1800000127,4643.82
20110722,305880.00000001246,-3239.9999999997817,297996.1800000127,4643.82
20110725,305880.00000001246,57840.00000000006,359076.1800000125,4643.82
20110726,305880.00000001246,55080.00000000011,356316.18000001257,4643.82
20110727,305880.00000001246,45720.00000000016,346956.1800000126,4643.82
20110728,357960.0000000128,0,353274.9700000128,4685.03
20110729,357960.0000000128,-9119.99999999989,344113.6600000129,4726.34
20110801,350520.00000001304,0,345752.52000001306,4767.4800000000005
20110802,356880.0000000133,0,352030.97000001324,4849.030000000001
20110803,356880.0000000133,0,352030.97000001324,4849.030000000001
20110804,356880.0000000133,0,352030.97000001324,4849.030000000001
20110805,356880.0000000133,-9000,342991.18000001326,4888.820000000001
20110808,356880.0000000133,49440.00000000006,401431.1800000133,4888.820000000001
20110809,356880.0000000133,51000,402991.18000001326,4888.820000000001
20110810,356880.0000000133,41280.00000000011,393271.1800000134,4888.820000000001
20110811,356880.0000000133,9000,360991.18000001326,4888.820000000001
20110812,356880.0000000133,10319.99999999989,362311.18000001315,4888.820000000001
20110815,353160.0000000134,0,348231.3100000134,4928.6900000000005
20110816,353160.0000000134,0,348231.3100000134,4928.6900000000005
20110817,353160.0000000134,-6599.999999999727,341591.2500000137,4968.750000000001
20110818,353160.0000000134,-38999.99999999972,309191.2500000137,4968.750000000001
20110819,353160.0000000134,-55079.99999999984,293111.25000001356,4968.750000000001
20110822,353160.0000000134,-75359.99999999994,272831.25000001345,4968.750000000001
20110823,353160.0000000134,-50879.99999999984,297311.25000001356,4968.750000000001
20110824,353160.0000000134,-60479.99999999984,287711.25000001356,4968.750000000001
20110825,353160.0000000134,3480.000000000109,351671.2500000135,4968.750000000001
20110826,353160.0000000134,-839.9999999997817,347351.2500000136,4968.750000000001
20110829,353160.0000000134,-28079.999999999836,320111.25000001356,4968.750000000001
20110830,353160.0000000134,-41999.99999999972,306191.2500000137,4968.750000000001
20110831,353160.0000000134,-35399.99999999972,312791.2500000137,4968.750000000001
20110901,312600.00000001374,0,307592.12000001373,5007.880000000001
20110902,312600.00000001374,8760.000000000218,316313.22000001394,5046.780000000001
20110905,312600.00000001374,41760.00000000022,349313.22000001394,5046.780000000001
20110906,312600.00000001374,53880.00000000011,361433.2200000138,5046.780000000001
20110907,346080.0000000141,0,340995.0900000141,5084.910000000001
20110908,334560.0000000142,0,329398.4600000142,5161.540000000001
20110909,334560.0000000142,-25799.999999999727,303559.9500000145,5200.050000000001
20110913,334560.0000000142,-39479.99999999984,289879.9500000144,5200.050000000001
20110914,334560.0000000142,-36479.99999999984,292879.9500000144,5200.050000000001
20110915,334560.0000000142,-38399.99999999972,290959.9500000145,5200.050000000001
20110916,334560.0000000142,-34199.99999999972,295159.9500000145,5200.050000000001
20110919,269280.0000000144,0,264042.9400000144,5237.060000000001
20110920,269280.0000000144,5160.000000000218,269165.8600000146,5274.140000000001
20110921,269280.0000000144,49800.00000000028,313805.86000001465,5274.140000000001
20110922,269280.0000000144,-119.99999999989086,263885.8600000145,5274.140000000001
20110923,269280.0000000144,-9359.999999999945,254645.86000001442,5274.140000000001
20110926,269280.0000000144,-47399.99999999972,216605.86000001465,5274.140000000001
20110927,269280.0000000144,-30359.999999999945,233645.86000001442,5274.140000000001
20110928,269280.0000000144,-43679.99999999984,220325.86000001454,5274.140000000001
20110929,269280.0000000144,-50279.99999999984,213725.86000001454,5274.140000000001
20110930,213000.00000001455,0,207690.08000001454,5309.920000000001
20111010,213000.00000001455,0,207690.08000001454,5309.920000000001
20111011,213000.00000001455,0,207690.08000001454,5309.920000000001
20111012,213000.00000001455,30240.000000000327,237894.29000001488,5345.710000000001
20111013,213000.00000001455,36720.00000000016,244374.29000001473,5345.710000000001
20111014,213000.00000001455,38280.00000000011,245934.29000001468,5345.710000000001
20111017,213000.00000001455,41640.00000000033,249294.29000001488,5345.710000000001
20111018,213000.00000001455,-599.9999999997272,207054.29000001482,5345.710000000001
20111019,207360.00000001478,0,201978.6300000148,5381.370000000001
20111020,207360.00000001478,-2399.999999999727,199543.73000001506,5416.27
20111021,207360.00000001478,-5879.999999999836,196063.73000001497,5416.27
20111024,207360.00000001478,31200.000000000273,233143.73000001506,5416.27
20111025,207360.00000001478,57360.00000000022,259303.73000001503,5416.27
20111026,207360.00000001478,76200.00000000028,278143.73000001506,5416.27
20111027,207360.00000001478,82920.00000000016,284863.73000001494,5416.27
20111028,207360.00000001478,107640.00000000006,309583.7300000148,5416.27
