code,target,sigprice,gentime,usertag
CFFEX.IF.HOT,2,3227.8,20100420141000000,DT_EnterLong
CFFEX.IF.HOT,0,2684.2,20100608142500000,DT_ExitLong
CFFEX.IF.HOT,2,2732.6,20100609135000000,DT_EnterLong
CFFEX.IF.HOT,0,2768.4,20100610135000000,DT_ExitLong
CFFEX.IF.HOT,2,2758,20100621111500000,DT_EnterLong
CFFEX.IF.HOT,0,2765.2,20100623113000000,DT_ExitLong
CFFEX.IF.HOT,2,2796.2,20100624111000000,DT_EnterLong
CFFEX.IF.HOT,0,2742,20100628113000000,DT_ExitLong
CFFEX.IF.HOT,-2,2723.2,20100629104500000,DT_EnterShort
CFFEX.IF.HOT,0,2581.8,20100701104000000,DT_ExitShort
CFFEX.IF.HOT,-2,2550.8,20100701135000000,DT_EnterShort
CFFEX.IF.HOT,0,2547.6,20100702142000000,DT_ExitShort
CFFEX.IF.HOT,2,2540.8,20100705133000000,DT_EnterLong
CFFEX.IF.HOT,0,2862,20100730105000000,DT_ExitLong
CFFEX.IF.HOT,2,2908,20100802094000000,DT_EnterLong
CFFEX.IF.HOT,0,2908.6,20100803104000000,DT_ExitLong
CFFEX.IF.HOT,-2,2869.6,20100803145000000,DT_EnterShort
CFFEX.IF.HOT,0,2869.6,20100806113000000,DT_ExitShort
CFFEX.IF.HOT,2,2925,20100809105000000,DT_EnterLong
CFFEX.IF.HOT,0,2900.6,20100809112500000,DT_ExitLong
CFFEX.IF.HOT,-2,2886,20100810111500000,DT_EnterShort
CFFEX.IF.HOT,0,2866.8,20100812103500000,DT_ExitShort
CFFEX.IF.HOT,2,2842.2,20100813113000000,DT_EnterLong
CFFEX.IF.HOT,0,2898.6,20100823144000000,DT_ExitLong
CFFEX.IF.HOT,2,2889.2,20100826111500000,DT_EnterLong
CFFEX.IF.HOT,0,2885,20100901135000000,DT_ExitLong
CFFEX.IF.HOT,-2,2921.6,20100903112500000,DT_EnterShort
CFFEX.IF.HOT,0,2889,20100920113000000,DT_ExitShort
