code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
CFFEX.IF.HOT,LONG,201004201415,3228.4,201006081430,2684.2,2,-326520,31680,-330240,-326602,DT_EnterLong,DT_ExitLong,148,1987
CFFEX.IF.HOT,LONG,201006091355,2733,201006101355,2768,2,21000,44760,-720,-305678,DT_EnterLong,DT_ExitLong,2034,2088
CFFEX.IF.HOT,LONG,201006211120,2758,201006231305,2764,2,3600,35160,-1080,-302154,DT_EnterLong,DT_ExitLong,2291,2402
CFFEX.IF.HOT,LONG,201006241115,2797,201006281305,2742,2,-33000,7680,-36120,-335230,DT_EnterLong,DT_ExitLong,2452,2564
CFFEX.IF.HOT,SHORT,201006291050,2723.2,201007011045,2581.8,2,84840,96120,-960,-250463,DT_EnterShort,DT_ExitShort,2609,2716
CFFEX.IF.HOT,SHORT,201007011355,2550.4,201007021425,2547.2,2,1920,42840,-2760,-248614,DT_EnterShort,DT_ExitShort,2736,2796
CFFEX.IF.HOT,LONG,201007051335,2540.2,201007301055,2861.2,2,192600,213360,-17400,-56088.2,DT_EnterLong,DT_ExitLong,2840,3852
CFFEX.IF.HOT,LONG,201008020945,2908.4,201008031045,2908.4,2,2.72848e-10,25080,-13320,-56168.5,DT_EnterLong,DT_ExitLong,3892,3958
CFFEX.IF.HOT,SHORT,201008031455,2869.2,201008061305,2870.2,2,-600,27720,-12480,-56847.7,DT_EnterShort,DT_ExitShort,3990,4130
CFFEX.IF.HOT,LONG,201008091055,2925.4,201008091130,2900,2,-15240,3960,-17280,-72168.1,DT_EnterLong,DT_ExitLong,4176,4183
CFFEX.IF.HOT,SHORT,201008101120,2885.6,201008121040,2867.8,2,10680,40920,-240,-61567.5,DT_EnterShort,DT_ExitShort,4235,4335
CFFEX.IF.HOT,LONG,201008131305,2844.2,201008231445,2898.4,2,32520,102600,-6240,-29126.8,DT_EnterLong,DT_ExitLong,4400,4744
CFFEX.IF.HOT,LONG,201008261120,2889.2,201009011355,2886,2,-1920,40200,-24360,-31126.5,DT_EnterLong,DT_ExitLong,4883,5112
CFFEX.IF.HOT,SHORT,201009031130,2921.4,201009201305,2889.8,2,18960,51000,-51120,-12246.7,DT_EnterShort,DT_ExitShort,5209,5804
CFFEX.IF.HOT,LONG,201009211115,2875.8,201009211305,2869.8,2,-3600,2.72848e-10,-8640,-15925.9,DT_EnterLong,DT_ExitLong,5854,5858
CFFEX.IF.HOT,LONG,201009271035,2893.6,201009281130,2893.8,2,120,12480,-6240,-15885.8,DT_EnterLong,DT_ExitLong,5900,5965
CFFEX.IF.HOT,LONG,201009291010,2896.2,201010221440,3447.2,2,330600,369840,-14760,314627,DT_EnterLong,DT_ExitLong,6003,6687
CFFEX.IF.HOT,LONG,201010251100,3512.4,201010261355,3562.6,2,30120,63360,-2160,344649,DT_EnterLong,DT_ExitLong,6715,6786
CFFEX.IF.HOT,SHORT,201010290925,3467.8,201011050925,3602.2,2,-80640,39600,-83280,263911,DT_EnterShort,DT_ExitShort,6912,7182
CFFEX.IF.HOT,SHORT,201011090950,3557.8,201011110925,3525,2,19680,41040,-6480,283494,DT_EnterShort,DT_ExitShort,7295,7398
CFFEX.IF.HOT,SHORT,201011111500,3536.4,201011191420,3192.2,2,206520,271800,-16080,489921,DT_EnterShort,DT_ExitShort,7447,7763
CFFEX.IF.HOT,SHORT,201011221430,3179.6,201011231420,3152.6,2,16200,68520,-6960,506033,DT_EnterShort,DT_ExitShort,7819,7871
CFFEX.IF.HOT,LONG,201011251100,3225.2,201011261345,3183.6,2,-24960,11880,-30120,480985,DT_EnterLong,DT_ExitLong,7957,8026
CFFEX.IF.HOT,SHORT,201011291050,3181.8,201011291400,3224.6,2,-25680,6600,-31920,455217,DT_EnterShort,DT_ExitShort,8063,8083
CFFEX.IF.HOT,SHORT,201011301050,3167.4,201012020925,3204.8,2,-22440,53520,-23880,432689,DT_EnterShort,DT_ExitShort,8117,8208
CFFEX.IF.HOT,SHORT,201012021425,3176.4,201012031115,3175,2,840,22200,-8160,433441,DT_EnterShort,DT_ExitShort,8250,8284
CFFEX.IF.HOT,SHORT,201012070925,3143.6,201012101400,3160.2,2,-9960,16680,-59520,423394,DT_EnterShort,DT_ExitShort,8370,8569
CFFEX.IF.HOT,LONG,201012101405,3177.8,201012151040,3264.2,2,51840,68520,-11400,475145,DT_EnterLong,DT_ExitLong,8570,8709
CFFEX.IF.HOT,SHORT,201012151045,3262.4,201012200925,3296.8,2,-20640,6720,-28080,454415,DT_EnterShort,DT_ExitShort,8710,8856
CFFEX.IF.HOT,LONG,201012211305,3241.4,201012221340,3269.6,2,16920,38760,-3360,471245,DT_EnterLong,DT_ExitLong,8936,8997
CFFEX.IF.HOT,SHORT,201012221345,3243.2,201012231330,3259,2,-9480,18960,-12360,461675,DT_EnterShort,DT_ExitShort,8998,9049
CFFEX.IF.HOT,SHORT,201012301105,3058.8,201101060945,3218.4,2,-95760,4680,-97200,365828,DT_EnterShort,DT_ExitShort,9308,9508
CFFEX.IF.HOT,LONG,201101071045,3184.8,201101101130,3162.6,2,-13320,27120,-23760,352421,DT_EnterLong,DT_ExitLong,9574,9637
CFFEX.IF.HOT,LONG,201101191100,2993.8,201101241105,2976.2,2,-10560,43080,-27480,341778,DT_EnterLong,DT_ExitLong,10009,10172
