code,time,direct,action,price,qty,tag,fee,barno
CFFEX.IF.HOT,201004201415,LONG,OPEN,3228.4,2,DT_EnterLong,44.55,148
CFFEX.IF.HOT,201006081430,LONG,CLOSE,2684.2,2,DT_ExitLong,37.04,1987
CFFEX.IF.HOT,201006091355,LONG,OPEN,2733,2,DT_EnterLong,37.72,2034
CFFEX.IF.HOT,201006101355,LONG,CLOSE,2768,2,DT_ExitLong,38.2,2088
CFFEX.IF.HOT,201006211120,LONG,OPEN,2758,2,DT_EnterLong,38.06,2291
CFFEX.IF.HOT,201006231305,LONG,CLOSE,2764,2,DT_ExitLong,38.14,2402
CFFEX.IF.HOT,201006241115,LONG,OPEN,2797,2,DT_EnterLong,38.6,2452
CFFEX.IF.HOT,201006281305,LONG,CLOSE,2742,2,DT_ExitLong,37.84,2564
CFFEX.IF.HOT,201006291050,SHORT,OPEN,2723.2,2,DT_EnterShort,37.58,2609
CFFEX.IF.HOT,201007011045,SHORT,CLOSE,2581.8,2,DT_ExitShort,35.63,2716
CFFEX.IF.HOT,201007011355,SHORT,OPEN,2550.4,2,DT_EnterShort,35.2,2736
CFFEX.IF.HOT,201007021425,SHORT,CLOSE,2547.2,2,DT_ExitShort,35.15,2796
CFFEX.IF.HOT,201007051335,LONG,OPEN,2540.2,2,DT_EnterLong,35.05,2840
CFFEX.IF.HOT,201007301055,LONG,CLOSE,2861.2,2,DT_ExitLong,39.48,3852
CFFEX.IF.HOT,201008020945,LONG,OPEN,2908.4,2,DT_EnterLong,40.14,3892
CFFEX.IF.HOT,201008031045,LONG,CLOSE,2908.4,2,DT_ExitLong,40.14,3958
CFFEX.IF.HOT,201008031455,SHORT,OPEN,2869.2,2,DT_EnterShort,39.59,3990
CFFEX.IF.HOT,201008061305,SHORT,CLOSE,2870.2,2,DT_ExitShort,39.61,4130
CFFEX.IF.HOT,201008091055,LONG,OPEN,2925.4,2,DT_EnterLong,40.37,4176
CFFEX.IF.HOT,201008091130,LONG,CLOSE,2900,2,DT_ExitLong,40.02,4183
CFFEX.IF.HOT,201008101120,SHORT,OPEN,2885.6,2,DT_EnterShort,39.82,4235
CFFEX.IF.HOT,201008121040,SHORT,CLOSE,2867.8,2,DT_ExitShort,39.58,4335
CFFEX.IF.HOT,201008131305,LONG,OPEN,2844.2,2,DT_EnterLong,39.25,4400
CFFEX.IF.HOT,201008231445,LONG,CLOSE,2898.4,2,DT_ExitLong,40,4744
CFFEX.IF.HOT,201008261120,LONG,OPEN,2889.2,2,DT_EnterLong,39.87,4883
CFFEX.IF.HOT,201009011355,LONG,CLOSE,2886,2,DT_ExitLong,39.83,5112
CFFEX.IF.HOT,201009031130,SHORT,OPEN,2921.4,2,DT_EnterShort,40.32,5209
CFFEX.IF.HOT,201009201305,SHORT,CLOSE,2889.8,2,DT_ExitShort,39.88,5804
