code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
CFFEX.IF.HOT,LONG,201601051310,3452.6,201601051330,3421.2,2,-18840,960,-18720,-18934.9,DT_EnterLong,DT_ExitLong,73,77
CFFEX.IF.HOT,SHORT,201601051340,3400,201601061010,3450.6,2,-30360,35400,-37680,-49389.4,DT_EnterShort,DT_ExitShort,79,103
CFFEX.IF.HOT,SHORT,201601070950,3308,201601080955,3256.4,2,30960,53880,-37800,-18520,DT_EnterShort,DT_ExitShort,147,196
CFFEX.IF.HOT,SHORT,201601121455,3184.8,201601130945,3222.8,2,-22800,1680,-30720,-41408.4,DT_EnterShort,DT_ExitShort,334,338
CFFEX.IF.HOT,SHORT,201601131320,3198.4,201601141355,3172.4,2,15600,69840,-12840,-25896.3,DT_EnterShort,DT_ExitShort,363,418
CFFEX.IF.HOT,SHORT,201601151010,3122.8,201601181030,3060.2,2,37560,82680,-720,11578.4,DT_EnterShort,DT_ExitShort,439,491
CFFEX.IF.HOT,SHORT,201601181055,3035.8,201601181310,3086.4,2,-30360,9480,-31320,-18866.1,DT_EnterShort,DT_ExitShort,496,505
CFFEX.IF.HOT,SHORT,201601191100,3051.4,201601191305,3117.2,2,-39480,6840,-38040,-58431.3,DT_EnterShort,DT_ExitShort,545,552
CFFEX.IF.HOT,LONG,201601191310,3122.2,201601211345,3042,2,-48120,20280,-54720,-106636,DT_EnterLong,DT_ExitLong,553,656
CFFEX.IF.HOT,SHORT,201601211350,3049,201601221400,3057.8,2,-5280,38280,-10320,-112001,DT_EnterShort,DT_ExitShort,657,707
CFFEX.IF.HOT,LONG,201601271500,2875.4,201601281350,2846.4,2,-17400,14640,-20640,-129480,DT_EnterLong,DT_ExitLong,863,897
CFFEX.IF.HOT,LONG,201601291035,2884,201602030950,2912.6,2,17160,47400,-24600,-112400,DT_EnterLong,DT_ExitLong,924,1059
CFFEX.IF.HOT,LONG,201602031450,2941.6,201602051420,2943.8,2,1320,33840,-5040,-111161,DT_EnterLong,DT_ExitLong,1101,1191
CFFEX.IF.HOT,SHORT,201602170955,2977,201602191355,3004.8,2,-16680,13080,-31200,-127923,DT_EnterShort,DT_ExitShort,1300,1426
CFFEX.IF.HOT,SHORT,201602191450,2971.4,201602220950,3015.2,2,-26280,480,-37800,-154286,DT_EnterShort,DT_ExitShort,1437,1443
