date,closeprofit,positionprofit,dynbalance,fee
20160104,0,0,0,0
20160105,-18839.99999999978,-5280.000000000109,-24261.77999999989,141.78
20160106,-49199.99999999972,0,-49389.399999999725,189.4
20160107,-49199.99999999972,37680.00000000011,-11755.049999999614,235.05
20160108,-18239.999999999505,0,-18519.989999999507,279.99
20160111,-18239.999999999505,0,-18519.989999999507,279.99
20160112,-18239.999999999505,-7079.999999999836,-25643.93999999934,323.94
20160113,-41039.99999999923,27359.999999999945,-14092.549999999283,412.54999999999995
20160114,-25439.999999998956,0,-25896.329999998954,456.3299999999999
20160115,-25439.999999998956,57000,31060.580000001046,499.41999999999996
20160118,-18239.99999999841,0,-18866.12999999841,626.13
20160119,-57719.999999998254,7080.000000000109,-51394.34999999814,754.35
20160120,-57719.999999998254,-28919.99999999989,-87394.34999999814,754.35
20160121,-105839.99999999814,22800,-83878.40999999814,838.4100000000001
20160122,-111119.99999999798,0,-112000.60999999798,880.6100000000001
20160125,-111119.99999999798,0,-112000.60999999798,880.6100000000001
20160126,-111119.99999999798,0,-112000.60999999798,880.6100000000001
20160127,-111119.99999999798,-4679.999999999836,-116720.28999999781,920.2900000000001
20160128,-128519.9999999977,0,-129479.56999999771,959.57
20160129,-128519.9999999977,11880.00000000011,-117639.36999999758,999.37
20160201,-128519.9999999977,-119.99999999989086,-129639.36999999758,999.37
20160202,-128519.9999999977,38880.00000000011,-90639.36999999758,999.37
20160203,-111359.99999999748,-1319.9999999998909,-113760.14999999737,1080.1499999999999
20160204,-111359.99999999748,22320.000000000164,-90120.14999999732,1080.1499999999999
20160205,-110039.99999999732,0,-111160.76999999733,1120.7699999999998
20160215,-110039.99999999732,0,-111160.76999999733,1120.7699999999998
20160216,-110039.99999999732,0,-111160.76999999733,1120.7699999999998
20160217,-110039.99999999732,-6480.000000000109,-117681.84999999744,1161.8499999999997
20160218,-110039.99999999732,-2880.000000000109,-114081.84999999744,1161.8499999999997
20160219,-126719.99999999716,-5640.000000000055,-133604.3299999972,1244.3299999999997
20160222,-152999.999999997,0,-154285.939999997,1285.9399999999996
20160223,-152999.999999997,1680.0000000001091,-152647.6899999969,1327.6899999999996
20160224,-169079.9999999963,0,-170532.6499999963,1452.6499999999996
20160225,-169079.9999999963,89160.00000000022,-81413.98999999609,1493.9899999999996
20160226,-169079.9999999963,69360.00000000022,-101213.98999999609,1493.9899999999996
20160229,-169079.9999999963,123960.00000000022,-46613.98999999608,1493.9899999999996
20160301,-169079.9999999963,78840.00000000032,-91733.98999999599,1493.9899999999996
20160302,-169079.9999999963,-8039.999999999782,-178613.9899999961,1493.9899999999996
20160303,-183239.99999999598,0,-184775.64999999598,1535.6499999999996
20160304,-183239.99999999598,9960.000000000218,-174857.53999999576,1577.5399999999997
20160307,-168839.99999999572,0,-170459.7699999957,1619.7699999999998
20160308,-168839.99999999572,0,-170459.7699999957,1619.7699999999998
20160309,-168839.99999999572,-2159.9999999999454,-172661.34999999567,1661.3499999999997
20160310,-168839.99999999572,18000,-152501.34999999573,1661.3499999999997
20160311,-168839.99999999572,15840.000000000055,-154661.34999999567,1661.3499999999997
20160314,-179039.99999999572,0,-180743.15999999573,1703.1599999999996
20160315,-182519.99999999555,0,-184307.21999999555,1787.2199999999996
20160316,-182519.99999999555,0,-184307.21999999555,1787.2199999999996
20160317,-182519.99999999555,0,-184307.21999999555,1787.2199999999996
20160318,-207119.99999999529,0,-208992.85999999527,1872.8599999999994
20160321,-207119.99999999529,0,-208992.85999999527,1872.8599999999994
20160322,-208319.99999999502,-6840.000000000055,-217165.48999999507,2005.4899999999996
20160323,-208319.99999999502,-6000,-216325.489999995,2005.4899999999996
20160324,-208319.99999999502,-36719.99999999989,-247045.4899999949,2005.4899999999996
