code,target,sigprice,gentime,usertag
CFFEX.IF.HOT,2,3451.2,20160105130500000,DT_EnterLong
CFFEX.IF.HOT,0,3422,20160105132500000,DT_ExitLong
CFFEX.IF.HOT,-2,3399.2,20160105133500000,DT_EnterShort
CFFEX.IF.HOT,0,3450,20160106100500000,DT_ExitShort
CFFEX.IF.HOT,-2,3308.2,20160107094500000,DT_EnterShort
CFFEX.IF.HOT,0,3255,20160108095000000,DT_ExitShort
CFFEX.IF.HOT,-2,3184.2,20160112145000000,DT_EnterShort
CFFEX.IF.HOT,0,3223,20160113094000000,DT_ExitShort
CFFEX.IF.HOT,-2,3198.6,20160113131500000,DT_EnterShort
CFFEX.IF.HOT,0,3171,20160114135000000,DT_ExitShort
CFFEX.IF.HOT,-2,3123,20160115100500000,DT_EnterShort
CFFEX.IF.HOT,0,3060.2,20160118102500000,DT_ExitShort
CFFEX.IF.HOT,-2,3035.6,20160118105000000,DT_EnterShort
CFFEX.IF.HOT,0,3086.2,20160118130500000,DT_ExitShort
CFFEX.IF.HOT,-2,3050,20160119105500000,DT_EnterShort
CFFEX.IF.HOT,0,3113.2,20160119113000000,DT_ExitShort
CFFEX.IF.HOT,2,3122,20160119130500000,DT_EnterLong
CFFEX.IF.HOT,0,3042.2,20160121134000000,DT_ExitLong
CFFEX.IF.HOT,-2,3049.2,20160121134500000,DT_EnterShort
CFFEX.IF.HOT,0,3057,20160122135500000,DT_ExitShort
CFFEX.IF.HOT,2,2875.2,20160127145500000,DT_EnterLong
CFFEX.IF.HOT,0,2846.6,20160128134500000,DT_ExitLong
CFFEX.IF.HOT,2,2884,20160129103000000,DT_EnterLong
CFFEX.IF.HOT,0,2913,20160203094500000,DT_ExitLong
CFFEX.IF.HOT,2,2941.4,20160203144500000,DT_EnterLong
CFFEX.IF.HOT,0,2945,20160205141500000,DT_ExitLong
CFFEX.IF.HOT,-2,2977,20160217095000000,DT_EnterShort
CFFEX.IF.HOT,0,3003.2,20160219135000000,DT_ExitShort
CFFEX.IF.HOT,-2,2972,20160219144500000,DT_EnterShort
CFFEX.IF.HOT,0,3015,20160222094500000,DT_ExitShort
CFFEX.IF.HOT,-2,3025.2,20160223103000000,DT_EnterShort
CFFEX.IF.HOT,0,3034.2,20160224095500000,DT_ExitShort
CFFEX.IF.HOT,-2,3002.2,20160224111000000,DT_EnterShort
CFFEX.IF.HOT,0,3019.4,20160224144500000,DT_ExitShort
CFFEX.IF.HOT,-2,2995.4,20160225102000000,DT_EnterShort
CFFEX.IF.HOT,0,3019,20160303143000000,DT_ExitShort
CFFEX.IF.HOT,2,3035.6,20160304104000000,DT_EnterLong
CFFEX.IF.HOT,0,3059.4,20160307135000000,DT_ExitLong
CFFEX.IF.HOT,-2,3012.4,20160309110000000,DT_EnterShort
CFFEX.IF.HOT,0,3029.2,20160314093500000,DT_ExitShort
CFFEX.IF.HOT,-2,3042,20160314150000000,DT_EnterShort
CFFEX.IF.HOT,0,3048.2,20160315144500000,DT_ExitShort
CFFEX.IF.HOT,-2,3083.8,20160318094500000,DT_EnterShort
CFFEX.IF.HOT,0,3125.8,20160318104000000,DT_ExitShort
CFFEX.IF.HOT,-2,3202,20160322095500000,DT_EnterShort
CFFEX.IF.HOT,0,3202.8,20160322142500000,DT_ExitShort
CFFEX.IF.HOT,2,3205.8,20160322143000000,DT_EnterLong
CFFEX.IF.HOT,0,3150.4,20160325110000000,DT_ExitLong
CFFEX.IF.HOT,-2,3154,20160325110500000,DT_EnterShort
CFFEX.IF.HOT,0,3158,20160330100000000,DT_ExitShort
CFFEX.IF.HOT,-2,3190,20160331142500000,DT_EnterShort
