code,time,direct,action,price,qty,tag,fee,barno
CFFEX.IF.HOT,201601051310,LONG,OPEN,3452.6,2,DT_EnterLong,47.65,73
CFFEX.IF.HOT,201601051330,LONG,CLOSE,3421.2,2,DT_ExitLong,47.21,77
CFFEX.IF.HOT,201601051340,SHORT,OPEN,3400,2,DT_EnterShort,46.92,79
CFFEX.IF.HOT,201601061010,SHORT,CLOSE,3450.6,2,DT_ExitShort,47.62,103
CFFEX.IF.HOT,201601070950,SHORT,OPEN,3308,2,DT_EnterShort,45.65,147
CFFEX.IF.HOT,201601080955,SHORT,CLOSE,3256.4,2,DT_ExitShort,44.94,196
CFFEX.IF.HOT,201601121455,SHORT,OPEN,3184.8,2,DT_EnterShort,43.95,334
CFFEX.IF.HOT,201601130945,SHORT,CLOSE,3222.8,2,DT_ExitShort,44.47,338
CFFEX.IF.HOT,201601131320,SHORT,OPEN,3198.4,2,DT_EnterShort,44.14,363
CFFEX.IF.HOT,201601141355,SHORT,CLOSE,3172.4,2,DT_ExitShort,43.78,418
CFFEX.IF.HOT,201601151010,SHORT,OPEN,3122.8,2,DT_EnterShort,43.09,439
CFFEX.IF.HOT,201601181030,SHORT,CLOSE,3060.2,2,DT_ExitShort,42.23,491
CFFEX.IF.HOT,201601181055,SHORT,OPEN,3035.8,2,DT_EnterShort,41.89,496
CFFEX.IF.HOT,201601181310,SHORT,CLOSE,3086.4,2,DT_ExitShort,42.59,505
CFFEX.IF.HOT,201601191100,SHORT,OPEN,3051.4,2,DT_EnterShort,42.11,545
CFFEX.IF.HOT,201601191305,SHORT,CLOSE,3117.2,2,DT_ExitShort,43.02,552
CFFEX.IF.HOT,201601191310,LONG,OPEN,3122.2,2,DT_EnterLong,43.09,553
CFFEX.IF.HOT,201601211345,LONG,CLOSE,3042,2,DT_ExitLong,41.98,656
CFFEX.IF.HOT,201601211350,SHORT,OPEN,3049,2,DT_EnterShort,42.08,657
CFFEX.IF.HOT,201601221400,SHORT,CLOSE,3057.8,2,DT_ExitShort,42.2,707
CFFEX.IF.HOT,201601271500,LONG,OPEN,2875.4,2,DT_EnterLong,39.68,863
CFFEX.IF.HOT,201601281350,LONG,CLOSE,2846.4,2,DT_ExitLong,39.28,897
CFFEX.IF.HOT,201601291035,LONG,OPEN,2884,2,DT_EnterLong,39.8,924
CFFEX.IF.HOT,201602030950,LONG,CLOSE,2912.6,2,DT_ExitLong,40.19,1059
CFFEX.IF.HOT,201602031450,LONG,OPEN,2941.6,2,DT_EnterLong,40.59,1101
CFFEX.IF.HOT,201602051420,LONG,CLOSE,2943.8,2,DT_ExitLong,40.62,1191
CFFEX.IF.HOT,201602170955,SHORT,OPEN,2977,2,DT_EnterShort,41.08,1300
CFFEX.IF.HOT,201602191355,SHORT,CLOSE,3004.8,2,DT_ExitShort,41.47,1426
CFFEX.IF.HOT,201602191450,SHORT,OPEN,2971.4,2,DT_EnterShort,41.01,1437
CFFEX.IF.HOT,201602220950,SHORT,CLOSE,3015.2,2,DT_ExitShort,41.61,1443
CFFEX.IF.HOT,201602231035,SHORT,OPEN,3025.2,2,DT_EnterShort,41.75,1500
CFFEX.IF.HOT,201602241000,SHORT,CLOSE,3034.4,2,DT_ExitShort,41.87,1541
CFFEX.IF.HOT,201602241115,SHORT,OPEN,3001.8,2,DT_EnterShort,41.42,1556
