code,time,direct,action,price,qty,tag,fee,barno
CFFEX.IF.HOT,201601051315,LONG,OPEN,3448,1,DT_EnterLong,23.79,74
CFFEX.IF.HOT,201601051325,LONG,CLOSE,3427.8,1,DT_EnterShort,23.65,76
CFFEX.IF.HOT,201601051325,SHORT,OPEN,3427.8,1,DT_EnterShort,23.65,76
CFFEX.IF.HOT,201601061000,SHORT,CLOSE,3453.8,1,DT_EnterLong,23.83,101
CFFEX.IF.HOT,201601061000,LONG,OPEN,3453.8,1,DT_EnterLong,23.83,101
CFFEX.IF.HOT,201601070950,LONG,CLOSE,3308.2,1,DT_EnterShort,22.83,147
CFFEX.IF.HOT,201601070950,SHORT,OPEN,3308.2,1,DT_EnterShort,22.83,147
CFFEX.IF.HOT,201601081010,SHORT,CLOSE,3304,1,DT_EnterLong,22.8,199
CFFEX.IF.HOT,201601081010,LONG,OPEN,3304,1,DT_EnterLong,22.8,199
CFFEX.IF.HOT,201601110950,LONG,CLOSE,3283,1,DT_EnterShort,22.65,243
CFFEX.IF.HOT,201601110950,SHORT,OPEN,3283,1,DT_EnterShort,22.65,243
CFFEX.IF.HOT,201601130950,SHORT,CLOSE,3218.2,1,DT_EnterLong,22.21,339
CFFEX.IF.HOT,201601130950,LONG,OPEN,3218.2,1,DT_EnterLong,22.21,339
CFFEX.IF.HOT,201601131320,LONG,CLOSE,3198.6,1,DT_EnterShort,22.07,363
CFFEX.IF.HOT,201601131320,SHORT,OPEN,3198.6,1,DT_EnterShort,22.07,363
CFFEX.IF.HOT,201601141355,SHORT,CLOSE,3172.2,1,DT_EnterLong,21.89,418
CFFEX.IF.HOT,201601141355,LONG,OPEN,3172.2,1,DT_EnterLong,21.89,418
CFFEX.IF.HOT,201601151010,LONG,CLOSE,3123,1,DT_EnterShort,21.55,439
CFFEX.IF.HOT,201601151010,SHORT,OPEN,3123,1,DT_EnterShort,21.55,439
