code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
CFFEX.IF.HOT,SHORT,201601070945,3335.2,201601071405,3245.2,2,54000,57960,0,53909.2,DT_EnterShort,DT_ExitShort,146,180
CFFEX.IF.HOT,LONG,201601071410,3245.2,201601071415,3245.2,2,0,0,0,53819.6,DT_EnterLong,DT_ExitLong,181,182
CFFEX.IF.HOT,LONG,201601071420,3245.2,201601071425,3245.2,2,0,0,0,53730.1,DT_EnterLong,DT_ExitLong,183,184
CFFEX.IF.HOT,LONG,201601071430,3245.2,201601071435,3245.2,2,0,0,0,53640.5,DT_EnterLong,DT_ExitLong,185,186
CFFEX.IF.HOT,LONG,201601071440,3245.2,201601071445,3245.2,2,0,0,0,53550.9,DT_EnterLong,DT_ExitLong,187,188
CFFEX.IF.HOT,LONG,201601071450,3245.2,201601071455,3245.2,2,0,0,0,53461.4,DT_EnterLong,DT_ExitLong,189,190
CFFEX.IF.HOT,LONG,201601071500,3245.2,201601080935,3320.4,2,45120,0,0,98490.8,DT_EnterLong,DT_ExitLong,191,192
CFFEX.IF.HOT,LONG,201601080940,3328,201601111325,3223,2,-63000,43200,-70200,35400.4,DT_EnterLong,DT_ExitLong,193,268
CFFEX.IF.HOT,SHORT,201601131435,3153,201601191130,3092,2,36600,100800,-37320,71914.2,DT_EnterShort,DT_ExitShort,378,551
CFFEX.IF.HOT,LONG,201601271425,2868.6,201602290945,2822.6,2,-27600,117840,-34320,44235.7,DT_EnterLong,DT_ExitLong,856,1682
CFFEX.IF.HOT,LONG,201603040940,3021.6,201603041105,3013.2,2,-5040,10680,-11760,39112.4,DT_EnterLong,DT_ExitLong,1873,1890
CFFEX.IF.HOT,SHORT,201603041125,3010.4,201603041330,3025.8,2,-9240,16440,-14640,29789.1,DT_EnterShort,DT_ExitShort,1894,1901
CFFEX.IF.HOT,SHORT,201603080945,3021,201603100940,3049.6,2,-17160,30000,-33000,12545.3,DT_EnterShort,DT_ExitShort,1970,2065
CFFEX.IF.HOT,SHORT,201603101450,2983.8,201603151420,3045,2,-36720,13680,-75000,-24257.9,DT_EnterShort,DT_ExitShort,2109,2247
CFFEX.IF.HOT,SHORT,201603231005,3191.4,201603280940,3191.2,2,120,36720,-8640,-24226,DT_EnterShort,DT_ExitShort,2502,2641
CFFEX.IF.HOT,SHORT,201603291305,3110.2,201604211405,3165,2,-32880,22800,-117840,-57192.6,DT_EnterShort,DT_ExitShort,2712,3492
CFFEX.IF.HOT,LONG,201604260940,3146.4,201604271405,3130.8,2,-9360,6120,-24600,-66639.2,DT_EnterLong,DT_ExitLong,3601,3684
CFFEX.IF.HOT,SHORT,201604280945,3112.6,201604290945,3126.8,2,-8520,9240,-13440,-75245.3,DT_EnterShort,DT_ExitShort,3698,3746
CFFEX.IF.HOT,LONG,201605030940,3132,201605030945,3117,2,-9000,0,-12360,-84331.5,DT_EnterLong,DT_ExitLong,3793,3794
CFFEX.IF.HOT,LONG,201605030950,3131.6,201605091445,3030,2,-60960,43200,-60840,-145377,DT_EnterLong,DT_ExitLong,3795,4028
CFFEX.IF.HOT,SHORT,201605100935,3023,201605131000,3089.4,2,-39840,4800,-42840,-185301,DT_EnterShort,DT_ExitShort,4032,4181
CFFEX.IF.HOT,SHORT,201605161000,3045,201605171410,3096.4,2,-30840,3840,-32280,-216226,DT_EnterShort,DT_ExitShort,4229,4309
CFFEX.IF.HOT,LONG,201605230940,3059,201605300940,3005.4,2,-32160,8400,-42600,-248469,DT_EnterLong,DT_ExitLong,4465,4705
CFFEX.IF.HOT,LONG,201605310955,3113.8,201605311050,3115,2,720,18720,-228840,-247835,DT_EnterLong,DT_ExitLong,4756,4767
CFFEX.IF.HOT,LONG,201606020940,3139,201606030940,3140.6,2,960,6480,-8040,-246962,DT_EnterLong,DT_ExitLong,4849,4897
CFFEX.IF.HOT,LONG,201606031315,3155,201606080940,3147,2,-4800,21840,-6480,-251849,DT_EnterLong,DT_ExitLong,4922,5041
CFFEX.IF.HOT,SHORT,201606130940,3106,201606150940,3048.8,2,34320,49920,-15480,-217614,DT_EnterShort,DT_ExitShort,5089,5185
CFFEX.IF.HOT,LONG,201606211005,3092.8,201606241310,2993.8,2,-59400,7680,-73080,-277098,DT_EnterLong,DT_ExitLong,5382,5545
CFFEX.IF.HOT,LONG,201607010940,3128.4,201607060940,3165,2,21960,33840,-19800,-255225,DT_EnterLong,DT_ExitLong,5761,5905
CFFEX.IF.HOT,SHORT,201607070940,3176.6,201607081415,3180,2,-2040,9000,-9720,-257352,DT_EnterShort,DT_ExitShort,5953,6038
CFFEX.IF.HOT,LONG,201607110940,3197.6,201607141425,3230,2,19440,60840,-13560,-238001,DT_EnterLong,DT_ExitLong,6049,6232
CFFEX.IF.HOT,SHORT,201607150940,3244.2,201607151440,3246.6,2,-1440,7920,-3120,-239531,DT_EnterShort,DT_ExitShort,6241,6283
CFFEX.IF.HOT,LONG,201607210940,3210,201607271305,3171.4,2,-23160,27480,-22080,-262779,DT_EnterLong,DT_ExitLong,6433,6648
CFFEX.IF.HOT,SHORT,201607291440,3177.6,201608031010,3174.8,2,1680,24960,-6600,-261186,DT_EnterShort,DT_ExitShort,6763,6871
CFFEX.IF.HOT,SHORT,201608041005,3155.6,201608110945,3239.4,2,-50280,6120,-57960,-311555,DT_EnterShort,DT_ExitShort,6918,7154
