date,closeprofit,positionprofit,dynbalance,fee
20160104,0,0,0,0
20160105,0,0,0,0
20160106,0,0,0,0
20160107,54000,0,53416.61,583.3899999999999
20160108,99120.00000000016,-11400,87044.86000000016,675.1399999999999
20160111,36120.00000000016,0,35400.38000000016,719.6199999999999
20160112,36120.00000000016,0,35400.38000000016,719.6199999999999
20160113,36120.00000000016,119.99999999989086,35476.87000000005,763.1299999999999
20160114,36120.00000000016,-30959.999999999945,4396.8700000002145,763.1299999999999
20160115,36120.00000000016,75119.99999999988,110476.87000000004,763.1299999999999
20160118,36120.00000000016,66600,101956.87000000016,763.1299999999999
20160119,72720.00000000016,0,71914.20000000016,805.7999999999998
20160120,72720.00000000016,0,71914.20000000016,805.7999999999998
20160121,72720.00000000016,0,71914.20000000016,805.7999999999998
20160122,72720.00000000016,0,71914.20000000016,805.7999999999998
20160125,72720.00000000016,0,71914.20000000016,805.7999999999998
20160126,72720.00000000016,0,71914.20000000016,805.7999999999998
20160127,72720.00000000016,-600,71274.61000000016,845.3899999999999
20160128,72720.00000000016,-31079.999999999836,40794.61000000032,845.3899999999999
20160129,72720.00000000016,21120.000000000164,92994.61000000032,845.3899999999999
20160201,72720.00000000016,9120.000000000164,80994.61000000032,845.3899999999999
20160202,72720.00000000016,48120.00000000016,119994.61000000032,845.3899999999999
20160203,72720.00000000016,42480.00000000011,114354.61000000026,845.3899999999999
20160204,72720.00000000016,66120.00000000016,137994.6100000003,845.3899999999999
20160205,72720.00000000016,41159.99999999994,113034.6100000001,845.3899999999999
20160215,72720.00000000016,36720.00000000016,108594.61000000032,845.3899999999999
20160216,72720.00000000016,88800,160674.61000000016,845.3899999999999
20160217,72720.00000000016,71520.00000000016,143394.6100000003,845.3899999999999
20160218,72720.00000000016,67920.00000000016,139794.6100000003,845.3899999999999
20160219,72720.00000000016,67320.00000000016,139194.6100000003,845.3899999999999
20160222,72720.00000000016,104040.00000000006,175914.61000000022,845.3899999999999
20160223,72720.00000000016,92280.00000000012,164154.61000000028,845.3899999999999
20160224,72720.00000000016,102720.00000000016,174594.6100000003,845.3899999999999
20160225,72720.00000000016,-12959.999999999945,58914.61000000022,845.3899999999999
20160226,72720.00000000016,6840.000000000055,78714.61000000022,845.3899999999999
20160229,45120.00000000016,0,44235.66000000016,884.3399999999999
20160301,45120.00000000016,0,44235.66000000016,884.3399999999999
20160302,45120.00000000016,0,44235.66000000016,884.3399999999999
20160303,45120.00000000016,0,44235.66000000016,884.3399999999999
20160304,30840.000000000047,0,29789.080000000045,1050.92
20160307,30840.000000000047,0,29789.080000000045,1050.92
20160308,30840.000000000047,-32640.000000000055,-2892.6100000000074,1092.6100000000001
20160309,30840.000000000047,2640.0000000000546,32387.3900000001,1092.6100000000001
20160310,13680.000000000102,480.00000000010914,12984.13000000021,1175.8700000000001
20160311,13680.000000000102,-1679.9999999998363,10824.130000000265,1175.8700000000001
20160314,13680.000000000102,-34919.99999999989,-22415.869999999788,1175.8700000000001
20160315,-23039.99999999979,0,-24257.88999999979,1217.89
20160316,-23039.99999999979,0,-24257.88999999979,1217.89
20160317,-23039.99999999979,0,-24257.88999999979,1217.89
20160318,-23039.99999999979,0,-24257.88999999979,1217.89
20160321,-23039.99999999979,0,-24257.88999999979,1217.89
20160322,-23039.99999999979,0,-24257.88999999979,1217.89
20160323,-23039.99999999979,-2759.9999999999454,-27061.929999999735,1261.93
20160324,-23039.99999999979,27959.999999999945,3658.070000000156,1261.93
20160325,-23039.99999999979,17159.999999999945,-7141.929999999844,1261.93
20160328,-22919.999999999625,0,-24225.969999999626,1305.97
20160329,-22919.999999999625,3719.999999999891,-20548.889999999734,1348.89
20160330,-22919.999999999625,-47880.00000000011,-72148.88999999974,1348.89
20160331,-22919.999999999625,-48480.00000000011,-72748.88999999974,1348.89
20160401,-22919.999999999625,-57840.00000000006,-82108.88999999968,1348.89
20160405,-22919.999999999625,-75600,-99868.88999999962,1348.89
20160406,-22919.999999999625,-77520.00000000016,-101788.88999999978,1348.89
20160407,-22919.999999999625,-55560.00000000022,-79828.88999999984,1348.89
20160408,-22919.999999999625,-41880.00000000011,-66148.88999999974,1348.89
20160411,-22919.999999999625,-62160.00000000022,-86428.88999999984,1348.89
20160412,-22919.999999999625,-63120.00000000016,-87388.88999999978,1348.89
20160413,-22919.999999999625,-84840.00000000006,-109108.88999999968,1348.89
20160414,-22919.999999999625,-95400,-119668.88999999962,1348.89
20160415,-22919.999999999625,-76440.00000000006,-100708.88999999968,1348.89
20160418,-22919.999999999625,-48840.00000000006,-73108.88999999968,1348.89
20160419,-22919.999999999625,-49440.00000000006,-73708.88999999968,1348.89
20160420,-22919.999999999625,-2760.0000000002183,-27028.889999999843,1348.89
20160421,-55799.99999999974,0,-57192.56999999974,1392.5700000000002
20160422,-55799.99999999974,0,-57192.56999999974,1392.5700000000002
20160425,-55799.99999999974,0,-57192.56999999974,1392.5700000000002
20160426,-55799.99999999974,-2040.0000000000546,-59275.989999999794,1435.9900000000002
20160427,-65159.99999999968,0,-66639.19999999968,1479.2000000000003
20160428,-65159.99999999968,-5159.999999999945,-71842.14999999962,1522.1500000000003
20160429,-73679.99999999984,0,-75245.29999999984,1565.3000000000004
20160503,-82679.99999999984,41040.00000000006,-43334.74999999978,1694.7500000000005
20160504,-82679.99999999984,33959.99999999994,-50414.7499999999,1694.7500000000005
20160505,-82679.99999999984,36600,-47774.74999999984,1694.7500000000005
20160506,-82679.99999999984,-25919.99999999989,-110294.74999999974,1694.7500000000005
20160509,-143639.99999999977,0,-145376.55999999976,1736.5600000000004
20160510,-143639.99999999977,-7319.999999999891,-152738.27999999965,1778.2800000000004
20160511,-143639.99999999977,-17640.000000000055,-163058.27999999982,1778.2800000000004
20160512,-143639.99999999977,-26159.999999999945,-171578.2799999997,1778.2800000000004
20160513,-183479.99999999983,0,-185300.90999999983,1820.9100000000005
20160516,-183479.99999999983,-22440.000000000055,-207782.92999999988,1862.9300000000005
20160517,-214319.99999999988,0,-216225.6599999999,1905.6600000000005
20160518,-214319.99999999988,0,-216225.6599999999,1905.6600000000005
20160519,-214319.99999999988,0,-216225.6599999999,1905.6600000000005
20160520,-214319.99999999988,0,-216225.6599999999,1905.6600000000005
20160523,-214319.99999999988,-9600,-225867.86999999988,1947.8700000000006
20160524,-214319.99999999988,-18240.000000000055,-234507.86999999994,1947.8700000000006
20160525,-214319.99999999988,-22440.000000000055,-238707.86999999994,1947.8700000000006
20160526,-214319.99999999988,-19800,-236067.86999999988,1947.8700000000006
20160527,-214319.99999999988,-15240.000000000055,-231507.86999999994,1947.8700000000006
20160530,-246479.99999999983,0,-248469.33999999982,1989.3400000000006
20160531,-245759.99999999994,0,-247835.29999999993,2075.3000000000006
20160601,-245759.99999999994,0,-247835.29999999993,2075.3000000000006
20160602,-245759.99999999994,-2159.9999999999454,-250038.61999999988,2118.620000000001
20160603,-244800,13440.000000000055,-233565.49999999994,2205.500000000001
20160606,-244800,1440.0000000000546,-245565.49999999994,2205.500000000001
20160607,-244800,3000,-244005.5,2205.500000000001
20160608,-249600,0,-251848.93,2248.9300000000007
20160613,-249600,46319.99999999989,-205571.79000000012,2291.790000000001
20160614,-249600,33359.99999999994,-218531.79000000007,2291.790000000001
20160615,-215280.00000000012,0,-217613.86000000013,2333.860000000001
20160616,-215280.00000000012,0,-217613.86000000013,2333.860000000001
20160617,-215280.00000000012,0,-217613.86000000013,2333.860000000001
20160620,-215280.00000000012,0,-217613.86000000013,2333.860000000001
20160621,-215280.00000000012,-33000,-250656.54000000012,2376.540000000001
20160622,-215280.00000000012,-10080.00000000011,-227736.54000000024,2376.540000000001
20160623,-215280.00000000012,-18720.000000000164,-236376.5400000003,2376.540000000001
20160624,-274680.0000000001,0,-277097.8500000001,2417.850000000001
20160627,-274680.0000000001,0,-277097.8500000001,2417.850000000001
20160628,-274680.0000000001,0,-277097.8500000001,2417.850000000001
20160629,-274680.0000000001,0,-277097.8500000001,2417.850000000001
20160630,-274680.0000000001,0,-277097.8500000001,2417.850000000001
20160701,-274680.0000000001,-16440.000000000055,-293581.0200000002,2461.020000000001
20160704,-274680.0000000001,24959.999999999945,-252181.02000000016,2461.020000000001
20160705,-274680.0000000001,26640.000000000055,-250501.02000000005,2461.020000000001
20160706,-252720.00000000017,0,-255224.7000000002,2504.7000000000007
20160707,-252720.00000000017,-5400,-260668.54000000018,2548.540000000001
20160708,-254760.00000000023,0,-257352.42000000025,2592.420000000001
20160711,-254760.00000000023,-12600,-269996.5500000002,2636.550000000001
20160712,-254760.00000000023,39000,-218396.55000000022,2636.550000000001
20160713,-254760.00000000023,44880.00000000011,-212516.5500000001,2636.550000000001
20160714,-235320.00000000017,0,-238001.12000000017,2681.1200000000013
20160715,-236760.00000000023,0,-239530.69000000024,2770.6900000000014
20160718,-236760.00000000023,0,-239530.69000000024,2770.6900000000014
20160719,-236760.00000000023,0,-239530.69000000024,2770.6900000000014
20160720,-236760.00000000023,0,-239530.69000000024,2770.6900000000014
20160721,-236760.00000000023,6119.999999999891,-233454.99000000034,2814.9900000000016
20160722,-236760.00000000023,-9480.00000000011,-249054.99000000034,2814.9900000000016
20160725,-236760.00000000023,-7200,-246774.99000000022,2814.9900000000016
20160726,-236760.00000000023,22200,-217374.99000000022,2814.9900000000016
20160727,-259920.00000000017,0,-262778.7600000002,2858.7600000000016
20160728,-259920.00000000017,0,-262778.7600000002,2858.7600000000016
20160729,-259920.00000000017,-2520.0000000001637,-265342.61000000034,2902.6100000000015
20160801,-259920.00000000017,15600,-247222.6100000002,2902.6100000000015
20160802,-259920.00000000017,7679.999999999836,-255142.61000000036,2902.6100000000015
20160803,-258240.00000000035,0,-261186.42000000036,2946.4200000000014
