code,target,sigprice,gentime,usertag
CFFEX.IF.HOT,-2,3334.2,20160107094000000,DT_EnterShort
CFFEX.IF.HOT,0,3245.2,20160107140000000,DT_ExitShort
CFFEX.IF.HOT,2,3245.2,20160107140500000,DT_EnterLong
CFFEX.IF.HOT,0,3245.2,20160107141000000,DT_ExitLong
CFFEX.IF.HOT,2,3245.2,20160107141500000,DT_EnterLong
CFFEX.IF.HOT,0,3245.2,20160107142000000,DT_ExitLong
CFFEX.IF.HOT,2,3245.2,20160107142500000,DT_EnterLong
CFFEX.IF.HOT,0,3245.2,20160107143000000,DT_ExitLong
CFFEX.IF.HOT,2,3245.2,20160107143500000,DT_EnterLong
CFFEX.IF.HOT,0,3245.2,20160107144000000,DT_ExitLong
CFFEX.IF.HOT,2,3245.2,20160107144500000,DT_EnterLong
CFFEX.IF.HOT,0,3245.2,20160107145000000,DT_ExitLong
CFFEX.IF.HOT,2,3245.2,20160107145500000,DT_EnterLong
CFFEX.IF.HOT,0,3245.2,20160107150000000,DT_ExitLong
CFFEX.IF.HOT,2,3325,20160108093500000,DT_EnterLong
CFFEX.IF.HOT,0,3220.6,20160111132000000,DT_ExitLong
CFFEX.IF.HOT,-2,3153,20160113143000000,DT_EnterShort
CFFEX.IF.HOT,0,3092,20160119112500000,DT_ExitShort
CFFEX.IF.HOT,2,2868.6,20160127142000000,DT_EnterLong
CFFEX.IF.HOT,0,2822,20160229094000000,DT_ExitLong
CFFEX.IF.HOT,2,3021.2,20160304093500000,DT_EnterLong
CFFEX.IF.HOT,0,3011.4,20160304110000000,DT_ExitLong
CFFEX.IF.HOT,-2,3013,20160304112000000,DT_EnterShort
CFFEX.IF.HOT,0,3025.6,20160304132500000,DT_ExitShort
CFFEX.IF.HOT,-2,3021,20160308094000000,DT_EnterShort
CFFEX.IF.HOT,0,3050.2,20160310093500000,DT_ExitShort
CFFEX.IF.HOT,-2,2983.2,20160310144500000,DT_EnterShort
CFFEX.IF.HOT,0,3045,20160315141500000,DT_ExitShort
CFFEX.IF.HOT,-2,3191.8,20160323100000000,DT_EnterShort
CFFEX.IF.HOT,0,3192.2,20160328093500000,DT_ExitShort
CFFEX.IF.HOT,-2,3110.2,20160329113000000,DT_EnterShort
CFFEX.IF.HOT,0,3165,20160421140000000,DT_ExitShort
CFFEX.IF.HOT,2,3147,20160426093500000,DT_EnterLong
CFFEX.IF.HOT,0,3131.8,20160427140000000,DT_ExitLong
CFFEX.IF.HOT,-2,3114.6,20160428094000000,DT_EnterShort
CFFEX.IF.HOT,0,3128.2,20160429094000000,DT_ExitShort
CFFEX.IF.HOT,2,3132,20160503093500000,DT_EnterLong
CFFEX.IF.HOT,0,3117,20160503094000000,DT_ExitLong
CFFEX.IF.HOT,2,3133.2,20160503094500000,DT_EnterLong
CFFEX.IF.HOT,0,3030.2,20160509144000000,DT_ExitLong
CFFEX.IF.HOT,-2,3022,20160509150000000,DT_EnterShort
CFFEX.IF.HOT,0,3088.4,20160513095500000,DT_ExitShort
CFFEX.IF.HOT,-2,3045.4,20160516095500000,DT_EnterShort
CFFEX.IF.HOT,0,3097.2,20160517140500000,DT_ExitShort
CFFEX.IF.HOT,2,3059,20160523093500000,DT_EnterLong
CFFEX.IF.HOT,0,3006,20160530093500000,DT_ExitLong
CFFEX.IF.HOT,2,3113.4,20160531095000000,DT_EnterLong
CFFEX.IF.HOT,0,3114,20160531104500000,DT_ExitLong
CFFEX.IF.HOT,2,3138.4,20160602093500000,DT_EnterLong
CFFEX.IF.HOT,0,3140.6,20160603093500000,DT_ExitLong
CFFEX.IF.HOT,2,3155,20160603131000000,DT_EnterLong
CFFEX.IF.HOT,0,3147,20160608093500000,DT_ExitLong
CFFEX.IF.HOT,-2,3106,20160613093500000,DT_EnterShort
CFFEX.IF.HOT,0,3048,20160615093500000,DT_ExitShort
CFFEX.IF.HOT,2,3091.8,20160621100000000,DT_EnterLong
CFFEX.IF.HOT,0,2993.8,20160624130500000,DT_ExitLong
CFFEX.IF.HOT,2,3128,20160701093500000,DT_EnterLong
CFFEX.IF.HOT,0,3165,20160706093500000,DT_ExitLong
CFFEX.IF.HOT,-2,3177,20160707093500000,DT_EnterShort
CFFEX.IF.HOT,0,3180.2,20160708141000000,DT_ExitShort
CFFEX.IF.HOT,2,3197.8,20160711093500000,DT_EnterLong
CFFEX.IF.HOT,0,3230,20160714142000000,DT_ExitLong
CFFEX.IF.HOT,-2,3243.4,20160715093500000,DT_EnterShort
CFFEX.IF.HOT,0,3246,20160715143500000,DT_ExitShort
CFFEX.IF.HOT,2,3210.2,20160721093500000,DT_EnterLong
CFFEX.IF.HOT,0,3173.2,20160727113000000,DT_ExitLong
CFFEX.IF.HOT,-2,3178.2,20160729143500000,DT_EnterShort
CFFEX.IF.HOT,0,3175,20160803100500000,DT_ExitShort
CFFEX.IF.HOT,-2,3155.6,20160804100000000,DT_EnterShort
CFFEX.IF.HOT,0,3239.4,20160811094000000,DT_ExitShort
CFFEX.IF.HOT,2,3263,20160811095500000,DT_EnterLong
CFFEX.IF.HOT,0,3346,20160817093500000,DT_ExitLong
CFFEX.IF.HOT,2,3337.2,20160823102000000,DT_EnterLong
CFFEX.IF.HOT,0,3285,20160906100000000,DT_ExitLong
CFFEX.IF.HOT,2,3202.6,20160914093500000,DT_EnterLong
CFFEX.IF.HOT,0,3194.2,20160914141000000,DT_ExitLong
CFFEX.IF.HOT,2,3211,20160919093500000,DT_EnterLong
CFFEX.IF.HOT,0,3231,20160926093500000,DT_ExitLong
CFFEX.IF.HOT,2,3217.2,20160927143000000,DT_EnterLong
CFFEX.IF.HOT,0,3216,20160928144500000,DT_ExitLong
CFFEX.IF.HOT,2,3232.8,20160929093500000,DT_EnterLong
