code,time,direct,action,price,qty,tag,fee,barno
CFFEX.IF.HOT,201601070945,SHORT,OPEN,3335.2,2,DT_EnterShort,46.03,146
CFFEX.IF.HOT,201601071405,SHORT,CLOSE,3245.2,2,DT_ExitShort,44.78,180
CFFEX.IF.HOT,201601071410,LONG,OPEN,3245.2,2,DT_EnterLong,44.78,181
CFFEX.IF.HOT,201601071415,LONG,CLOSE,3245.2,2,DT_ExitLong,44.78,182
CFFEX.IF.HOT,201601071420,LONG,OPEN,3245.2,2,DT_EnterLong,44.78,183
CFFEX.IF.HOT,201601071425,LONG,CLOSE,3245.2,2,DT_ExitLong,44.78,184
CFFEX.IF.HOT,201601071430,LONG,OPEN,3245.2,2,DT_EnterLong,44.78,185
CFFEX.IF.HOT,201601071435,LONG,CLOSE,3245.2,2,DT_ExitLong,44.78,186
CFFEX.IF.HOT,201601071440,LONG,OPEN,3245.2,2,DT_EnterLong,44.78,187
CFFEX.IF.HOT,201601071445,LONG,CLOSE,3245.2,2,DT_ExitLong,44.78,188
CFFEX.IF.HOT,201601071450,LONG,OPEN,3245.2,2,DT_EnterLong,44.78,189
CFFEX.IF.HOT,201601071455,LONG,CLOSE,3245.2,2,DT_ExitLong,44.78,190
CFFEX.IF.HOT,201601071500,LONG,OPEN,3245.2,2,DT_EnterLong,44.78,191
CFFEX.IF.HOT,201601080935,LONG,CLOSE,3320.4,2,DT_ExitLong,45.82,192
CFFEX.IF.HOT,201601080940,LONG,OPEN,3328,2,DT_EnterLong,45.93,193
CFFEX.IF.HOT,201601111325,LONG,CLOSE,3223,2,DT_ExitLong,44.48,268
CFFEX.IF.HOT,201601131435,SHORT,OPEN,3153,2,DT_EnterShort,43.51,378
CFFEX.IF.HOT,201601191130,SHORT,CLOSE,3092,2,DT_ExitShort,42.67,551
CFFEX.IF.HOT,201601271425,LONG,OPEN,2868.6,2,DT_EnterLong,39.59,856
CFFEX.IF.HOT,201602290945,LONG,CLOSE,2822.6,2,DT_ExitLong,38.95,1682
CFFEX.IF.HOT,201603040940,LONG,OPEN,3021.6,2,DT_EnterLong,41.7,1873
CFFEX.IF.HOT,201603041105,LONG,CLOSE,3013.2,2,DT_ExitLong,41.58,1890
CFFEX.IF.HOT,201603041125,SHORT,OPEN,3010.4,2,DT_EnterShort,41.54,1894
