code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
CFFEX.IF.HOT,LONG,201601051315,3448,201601051325,3427.8,1,-6060,1320,-7800,-6107.44,DT_EnterLong,DT_EnterShort,74,76
CFFEX.IF.HOT,SHORT,201601051325,3427.8,201601061000,3453.8,1,-7800,26040,-9360,-13954.9,DT_EnterShort,DT_EnterLong,76,101
CFFEX.IF.HOT,LONG,201601061000,3453.8,201601070950,3308.2,1,-43680,14160,-43680,-57681.6,DT_EnterLong,DT_EnterShort,101,147
CFFEX.IF.HOT,SHORT,201601070950,3308.2,201601081010,3304,1,1260,27000,-18840,-56467.2,DT_EnterShort,DT_EnterLong,147,199
CFFEX.IF.HOT,LONG,201601081010,3304,201601110950,3283,1,-6300,28800,-24840,-62812.7,DT_EnterLong,DT_EnterShort,199,243
CFFEX.IF.HOT,SHORT,201601110950,3283,201601130950,3218.2,1,19440,39420,-9060,-43417.5,DT_EnterShort,DT_EnterLong,243,339
CFFEX.IF.HOT,LONG,201601130950,3218.2,201601131320,3198.6,1,-5880,9300,-9060,-49341.8,DT_EnterLong,DT_EnterShort,339,363
CFFEX.IF.HOT,SHORT,201601131320,3198.6,201601141355,3172.2,1,7920,34980,-6360,-41465.8,DT_EnterShort,DT_EnterLong,363,418
CFFEX.IF.HOT,LONG,201601141355,3172.2,201601151010,3123,1,-14760,12900,-21000,-56269.2,DT_EnterLong,DT_EnterShort,418,439
CFFEX.IF.HOT,SHORT,201601151010,3123,201601181035,3056,1,20100,41400,-300,-36211.8,DT_EnterShort,DT_EnterLong,439,492
CFFEX.IF.HOT,LONG,201601181035,3056,201601181050,3029.4,1,-7980,1320,-10500,-44233.8,DT_EnterLong,DT_EnterShort,492,495
CFFEX.IF.HOT,SHORT,201601181050,3029.4,201601181315,3077,1,-14280,2820,-17880,-58556,DT_EnterShort,DT_EnterLong,495,506
CFFEX.IF.HOT,LONG,201601181315,3077,201601190940,3056.6,1,-6120,6000,-13740,-64718.3,DT_EnterLong,DT_EnterShort,506,529
CFFEX.IF.HOT,SHORT,201601190940,3056.6,201601191015,3065.6,1,-2700,4980,-6060,-67460.5,DT_EnterShort,DT_EnterLong,529,536
CFFEX.IF.HOT,LONG,201601191015,3065.6,201601191050,3050.8,1,-4440,300,-6900,-71942.7,DT_EnterLong,DT_EnterShort,536,543
CFFEX.IF.HOT,SHORT,201601191050,3050.8,201601191305,3117,1,-19860,3240,-19200,-91845.3,DT_EnterShort,DT_EnterLong,543,552
