code,target,sigprice,gentime,usertag
CFFEX.IF.HOT,1,3448,20160105131000000,DT_EnterLong
CFFEX.IF.HOT,0,3428.8,20160105132000000,DT_ExitLong
CFFEX.IF.HOT,-1,3428.8,20160105132000000,DT_EnterShort
CFFEX.IF.HOT,0,3453.2,20160106095500000,DT_ExitShort
CFFEX.IF.HOT,1,3453.2,20160106095500000,DT_EnterLong
CFFEX.IF.HOT,0,3308.2,20160107094500000,DT_ExitLong
CFFEX.IF.HOT,-1,3308.2,20160107094500000,DT_EnterShort
CFFEX.IF.HOT,0,3302.8,20160108100500000,DT_ExitShort
CFFEX.IF.HOT,1,3302.8,20160108100500000,DT_EnterLong
CFFEX.IF.HOT,0,3283.4,20160111094500000,DT_ExitLong
CFFEX.IF.HOT,-1,3283.4,20160111094500000,DT_EnterShort
CFFEX.IF.HOT,0,3218.2,20160113094500000,DT_ExitShort
CFFEX.IF.HOT,1,3218.2,20160113094500000,DT_EnterLong
CFFEX.IF.HOT,0,3198.6,20160113131500000,DT_ExitLong
CFFEX.IF.HOT,-1,3198.6,20160113131500000,DT_EnterShort
CFFEX.IF.HOT,0,3171,20160114135000000,DT_ExitShort
CFFEX.IF.HOT,1,3171,20160114135000000,DT_EnterLong
CFFEX.IF.HOT,0,3123,20160115100500000,DT_ExitLong
CFFEX.IF.HOT,-1,3123,20160115100500000,DT_EnterShort
CFFEX.IF.HOT,0,3056,20160118103000000,DT_ExitShort
CFFEX.IF.HOT,1,3056,20160118103000000,DT_EnterLong
CFFEX.IF.HOT,0,3029.6,20160118104500000,DT_ExitLong
CFFEX.IF.HOT,-1,3029.6,20160118104500000,DT_EnterShort
CFFEX.IF.HOT,0,3076.4,20160118131000000,DT_ExitShort
CFFEX.IF.HOT,1,3076.4,20160118131000000,DT_EnterLong
CFFEX.IF.HOT,0,3056.2,20160119093500000,DT_ExitLong
CFFEX.IF.HOT,-1,3056.2,20160119093500000,DT_EnterShort
CFFEX.IF.HOT,0,3065.6,20160119101000000,DT_ExitShort
CFFEX.IF.HOT,1,3065.6,20160119101000000,DT_EnterLong
CFFEX.IF.HOT,0,3049.2,20160119104500000,DT_ExitLong
CFFEX.IF.HOT,-1,3049.2,20160119104500000,DT_EnterShort
CFFEX.IF.HOT,0,3113.2,20160119113000000,DT_ExitShort
CFFEX.IF.HOT,1,3113.2,20160119113000000,DT_EnterLong
CFFEX.IF.HOT,0,3096.2,20160120112000000,DT_ExitLong
