[2024.07.07 10:38:44 - info ] 0==>current_date =20131018, current_time = 900, left_code = SHFE.rb.HOT, right_code = DCE.i.HOT
[2024.07.07 10:38:44 - info ] 1==>current_date =20131018, current_time = 900, left_code = SHFE.rb.HOT, right_code = DCE.i.HOT
[2024.07.07 10:38:45 - info ] left_close =2476, right_close = 474,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2515, right_close = 486,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2603, right_close = 508,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2555, right_close = 498,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2600, right_close = 511,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2590, right_close = 514,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2579, right_close = 511,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2564, right_close = 509,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2491, right_close = 497,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2507, right_close = 499,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2483, right_close = 497,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2526, right_close = 510,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2503, right_close = 505,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2515, right_close = 505,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2481, right_close = 500,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2471, right_close = 485,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2482, right_close = 487,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2483, right_close = 474,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2452, right_close = 469,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2461, right_close = 471,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2478, right_close = 472,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
[2024.07.07 10:38:45 - info ] left_close =2506, right_close = 476,beta = 0, c = 0, mean = -nan, up = -nan, down=-nan
