code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
SHFE.rb.HOT,LONG,201504220005,2289,201504221500,2329,1,400,450,-50,393.04,left_long_entry,收盘平仓,20049,20105
DCE.i.HOT,SHORT,201504220005,390,201504221500,399,1,-900,200,-900,-508.16,right_long_entry,收盘平仓,20049,20105
SHFE.rb.HOT,LONG,201603220005,2166,201603221500,2155,1,-110,140,-170,-625.02,left_long_entry,收盘平仓,40545,40601
DCE.i.HOT,SHORT,201603220905,422,201603221500,414.5,1,750,900,-250,123.74,right_long_entry,收盘平仓,40557,40601
SHFE.rb.HOT,LONG,201604210005,2746,201604211500,2755,1,90,410,-890,205.4,left_long_entry,收盘平仓,42450,42506
DCE.i.HOT,SHORT,201604210905,471,201604211500,474,1,-300,900,-300,-96.02,right_long_entry,收盘平仓,42462,42506
SHFE.rb.HOT,LONG,201605190910,2056,201605191500,2053,1,-30,170,-310,-132.37,left_long_entry,收盘平仓,43894,43937
DCE.i.HOT,SHORT,201605190910,374,201605191500,369,1,500,1050,-350,366.52,right_long_entry,收盘平仓,43894,43937
SHFE.rb.HOT,LONG,201605200910,2065,201605201500,2065,1,0,100,-220,360.14,left_long_entry,收盘平仓,43963,44006
DCE.i.HOT,SHORT,201605200910,373,201605201500,375.5,1,-250,350,-550,109.01,right_long_entry,收盘平仓,43963,44006
SHFE.rb.HOT,LONG,201607110910,2400,201607111500,2429,1,290,410,-220,391.61,left_long_entry,收盘平仓,46285,46328
DCE.i.HOT,SHORT,201607110910,427.5,201607111500,430,1,-250,500,-550,140.32,right_long_entry,收盘平仓,46285,46328
SHFE.rb.HOT,LONG,201608120910,2569,201608121500,2586,1,170,210,-130,302.58,left_long_entry,收盘平仓,47941,47984
DCE.i.HOT,SHORT,201608120910,430.5,201608121500,433.5,1,-300,300,-450,1.28,right_long_entry,收盘平仓,47941,47984
SHFE.rb.HOT,LONG,201608150910,2539,201608151500,2576,1,370,430,-200,363.65,left_long_entry,收盘平仓,48010,48053
DCE.i.HOT,SHORT,201608150910,418.5,201608151500,422.5,1,-400,550,-750,-37.62,right_long_entry,收盘平仓,48010,48053
SHFE.rb.HOT,LONG,201609020910,2414,201609021500,2410,1,-40,500,-60,-84.98,left_long_entry,收盘平仓,48976,49019
