code,target,sigprice,gentime,usertag
SHFE.rb.HOT,1,2289,20150422000000000,left_long_entry
DCE.i.HOT,-1,390,20150422000000000,right_long_entry
SHFE.rb.HOT,0,2330,20150422145500000,收盘平仓
DCE.i.HOT,0,399,20150422145500000,收盘平仓
SHFE.rb.HOT,1,2166,20160322000000000,left_long_entry
DCE.i.HOT,-1,421.5,20160322000000000,right_long_entry
SHFE.rb.HOT,0,2156,20160322145500000,收盘平仓
DCE.i.HOT,0,414.5,20160322145500000,收盘平仓
SHFE.rb.HOT,1,2746,20160421000000000,left_long_entry
DCE.i.HOT,-1,471.5,20160421000000000,right_long_entry
SHFE.rb.HOT,0,2754,20160421145500000,收盘平仓
DCE.i.HOT,0,474,20160421145500000,收盘平仓
SHFE.rb.HOT,1,2056,20160519090500000,left_long_entry
DCE.i.HOT,-1,374,20160519090500000,right_long_entry
SHFE.rb.HOT,0,2054,20160519145500000,收盘平仓
DCE.i.HOT,0,369,20160519145500000,收盘平仓
SHFE.rb.HOT,1,2065,20160520090500000,left_long_entry
DCE.i.HOT,-1,373.5,20160520090500000,right_long_entry
SHFE.rb.HOT,0,2065,20160520145500000,收盘平仓
DCE.i.HOT,0,375.5,20160520145500000,收盘平仓
SHFE.rb.HOT,1,2400,20160711090500000,left_long_entry
DCE.i.HOT,-1,427,20160711090500000,right_long_entry
SHFE.rb.HOT,0,2430,20160711145500000,收盘平仓
DCE.i.HOT,0,430,20160711145500000,收盘平仓
SHFE.rb.HOT,1,2569,20160812090500000,left_long_entry
DCE.i.HOT,-1,431,20160812090500000,right_long_entry
SHFE.rb.HOT,0,2585,20160812145500000,收盘平仓
DCE.i.HOT,0,434,20160812145500000,收盘平仓
SHFE.rb.HOT,1,2539,20160815090500000,left_long_entry
DCE.i.HOT,-1,418.5,20160815090500000,right_long_entry
SHFE.rb.HOT,0,2576,20160815145500000,收盘平仓
DCE.i.HOT,0,422.5,20160815145500000,收盘平仓
SHFE.rb.HOT,1,2415,20160902090500000,left_long_entry
DCE.i.HOT,-1,423.5,20160902090500000,right_long_entry
SHFE.rb.HOT,0,2410,20160902145500000,收盘平仓
DCE.i.HOT,0,419.5,20160902145500000,收盘平仓
SHFE.rb.HOT,1,2450,20160906090500000,left_long_entry
DCE.i.HOT,-1,427.5,20160906090500000,right_long_entry
SHFE.rb.HOT,0,2426,20160906145500000,收盘平仓
DCE.i.HOT,0,423.5,20160906145500000,收盘平仓
SHFE.rb.HOT,1,2341,20161013090500000,left_long_entry
DCE.i.HOT,-1,424,20161013090500000,right_long_entry
SHFE.rb.HOT,0,2350,20161013145500000,收盘平仓
DCE.i.HOT,0,427.5,20161013145500000,收盘平仓
SHFE.rb.HOT,1,2986,20161111090500000,left_long_entry
DCE.i.HOT,-1,597,20161111090500000,right_long_entry
SHFE.rb.HOT,0,3138,20161111145500000,收盘平仓
DCE.i.HOT,0,614.5,20161111145500000,收盘平仓
SHFE.rb.HOT,1,2826,20161116090500000,left_long_entry
DCE.i.HOT,-1,580.5,20161116090500000,right_long_entry
