code,time,direct,action,price,qty,tag,fee,barno
SHFE.rb.HOT,201504220005,LONG,OPEN,2289,1,left_long_entry,2.29,20049
DCE.i.HOT,201504220005,SHORT,OPEN,390,1,right_long_entry,2.34,20049
SHFE.rb.HOT,201504221500,LONG,CLOSE,2329,1,收盘平仓,2.33,20105
DCE.i.HOT,201504221500,SHORT,CLOSE,399,1,收盘平仓,1.2,20105
SHFE.rb.HOT,201603220005,LONG,OPEN,2166,1,left_long_entry,2.17,40545
DCE.i.HOT,201603220905,SHORT,OPEN,422,1,right_long_entry,2.53,40557
SHFE.rb.HOT,201603221500,LONG,CLOSE,2155,1,收盘平仓,2.16,40601
DCE.i.HOT,201603221500,SHORT,CLOSE,414.5,1,收盘平仓,1.24,40601
SHFE.rb.HOT,201604210005,LONG,OPEN,2746,1,left_long_entry,2.75,42450
DCE.i.HOT,201604210905,SHORT,OPEN,471,1,right_long_entry,2.83,42462
SHFE.rb.HOT,201604211500,LONG,CLOSE,2755,1,收盘平仓,2.76,42506
DCE.i.HOT,201604211500,SHORT,CLOSE,474,1,收盘平仓,1.42,42506
SHFE.rb.HOT,201605190910,LONG,OPEN,2056,1,left_long_entry,2.06,43894
DCE.i.HOT,201605190910,SHORT,OPEN,374,1,right_long_entry,2.24,43894
SHFE.rb.HOT,201605191500,LONG,CLOSE,2053,1,收盘平仓,2.05,43937
DCE.i.HOT,201605191500,SHORT,CLOSE,369,1,收盘平仓,1.11,43937
SHFE.rb.HOT,201605200910,LONG,OPEN,2065,1,left_long_entry,2.07,43963
DCE.i.HOT,201605200910,SHORT,OPEN,373,1,right_long_entry,2.24,43963
SHFE.rb.HOT,201605201500,LONG,CLOSE,2065,1,收盘平仓,2.07,44006
DCE.i.HOT,201605201500,SHORT,CLOSE,375.5,1,收盘平仓,1.13,44006
SHFE.rb.HOT,201607110910,LONG,OPEN,2400,1,left_long_entry,2.4,46285
DCE.i.HOT,201607110910,SHORT,OPEN,427.5,1,right_long_entry,2.57,46285
SHFE.rb.HOT,201607111500,LONG,CLOSE,2429,1,收盘平仓,2.43,46328
DCE.i.HOT,201607111500,SHORT,CLOSE,430,1,收盘平仓,1.29,46328
SHFE.rb.HOT,201608120910,LONG,OPEN,2569,1,left_long_entry,2.57,47941
DCE.i.HOT,201608120910,SHORT,OPEN,430.5,1,right_long_entry,2.58,47941
SHFE.rb.HOT,201608121500,LONG,CLOSE,2586,1,收盘平仓,2.59,47984
DCE.i.HOT,201608121500,SHORT,CLOSE,433.5,1,收盘平仓,1.3,47984
SHFE.rb.HOT,201608150910,LONG,OPEN,2539,1,left_long_entry,2.54,48010
DCE.i.HOT,201608150910,SHORT,OPEN,418.5,1,right_long_entry,2.51,48010
SHFE.rb.HOT,201608151500,LONG,CLOSE,2576,1,收盘平仓,2.58,48053
DCE.i.HOT,201608151500,SHORT,CLOSE,422.5,1,收盘平仓,1.27,48053
SHFE.rb.HOT,201609020910,LONG,OPEN,2414,1,left_long_entry,2.41,48976
DCE.i.HOT,201609020910,SHORT,OPEN,423.5,1,right_long_entry,2.54,48976
SHFE.rb.HOT,201609021500,LONG,CLOSE,2410,1,收盘平仓,2.41,49019
DCE.i.HOT,201609021500,SHORT,CLOSE,419.5,1,收盘平仓,1.26,49019
SHFE.rb.HOT,201609060910,LONG,OPEN,2449,1,left_long_entry,2.45,49114
DCE.i.HOT,201609060910,SHORT,OPEN,427.5,1,right_long_entry,2.57,49114
SHFE.rb.HOT,201609061500,LONG,CLOSE,2425,1,收盘平仓,2.43,49157
