code,direct,opentime,openprice,closetime,closeprice,qty,profit,maxprofit,maxloss,totalprofit,entertag,exittag,openbarno,closebarno
SHFE.rb.HOT,SHORT,201412300040,2590,201412301500,2608,1,-180,290,-180,-188.19,left_short_entry,收盘平仓,13411,13460
DCE.i.HOT,LONG,201412300040,499,201412301500,499,1,0,0,-400,-189.69,right_short_entry,收盘平仓,13411,13460
SHFE.rb.HOT,LONG,201501301110,2495,201501301500,2498,1,30,60,-20,-167.53,left_long_entry,收盘平仓,15343,15365
DCE.i.HOT,SHORT,201501301110,473,201501301500,474,1,-100,100,-200,-268.95,right_long_entry,收盘平仓,15343,15365
SHFE.rb.HOT,SHORT,201502091130,2465,201502091500,2477,1,-120,0,-150,-396.74,left_short_entry,收盘平仓,15905,15923
DCE.i.HOT,LONG,201502091130,474,201502091500,475,1,100,300,-100,-298.17,right_short_entry,收盘平仓,15905,15923
SHFE.rb.HOT,LONG,201502160925,2536,201502161100,2539,1,30,130,-20,-276.21,left_long_entry,left_long_exit,16348,16364
DCE.i.HOT,SHORT,201502160925,494,201502161100,497,1,-300,100,-500,-577.7,right_long_entry,right_long_exit,16348,16364
SHFE.rb.HOT,SHORT,201502250915,2478,201502251040,2486,1,-80,20,-140,-665.56,left_short_entry,left_short_exit,16484,16498
DCE.i.HOT,LONG,201502250915,481,201502251040,480,1,-100,400,-300,-767,right_short_entry,right_short_exit,16484,16498
SHFE.rb.HOT,SHORT,201502271010,2486,201502271500,2471,1,150,160,-40,-624.88,left_short_entry,收盘平仓,16681,16712
DCE.i.HOT,LONG,201502271010,487,201502271500,485,1,-200,100,-400,-826.34,right_short_entry,收盘平仓,16681,16712
SHFE.rb.HOT,SHORT,201503070005,2413,201503091500,2399,1,140,280,-30,-693.84,left_short_entry,收盘平仓,17214,17270
DCE.i.HOT,LONG,201503070005,449,201503091500,454,1,500,700,-100,-195.2,right_short_entry,收盘平仓,17214,17270
SHFE.rb.HOT,LONG,201503230910,2531,201503231500,2545,1,140,160,-180,-62.89,left_long_entry,收盘平仓,18157,18200
DCE.i.HOT,SHORT,201503230910,435,201503231500,436,1,-100,600,-200,-164.2,right_long_entry,收盘平仓,18157,18200
SHFE.rb.HOT,LONG,201503300930,2471,201503301500,2460,1,-110,50,-210,-281.62,left_long_entry,收盘平仓,18626,18665
