code,target,sigprice,gentime,usertag
SHFE.rb.HOT,-1,2590,20141230003500000,left_short_entry
DCE.i.HOT,1,499,20141230003500000,right_short_entry
SHFE.rb.HOT,0,2608,20141230145500000,收盘平仓
DCE.i.HOT,0,499,20141230145500000,收盘平仓
SHFE.rb.HOT,1,2495,20150130110500000,left_long_entry
DCE.i.HOT,-1,472,20150130110500000,right_long_entry
SHFE.rb.HOT,0,2497,20150130145500000,收盘平仓
DCE.i.HOT,0,474,20150130145500000,收盘平仓
SHFE.rb.HOT,-1,2465,20150209112500000,left_short_entry
DCE.i.HOT,1,475,20150209112500000,right_short_entry
SHFE.rb.HOT,0,2477,20150209145500000,收盘平仓
DCE.i.HOT,0,476,20150209145500000,收盘平仓
SHFE.rb.HOT,1,2536,20150216092000000,left_long_entry
DCE.i.HOT,-1,493,20150216092000000,right_long_entry
SHFE.rb.HOT,0,2539,20150216105500000,left_long_exit
DCE.i.HOT,0,498,20150216105500000,right_long_exit
SHFE.rb.HOT,-1,2477,20150225091000000,left_short_entry
DCE.i.HOT,1,481,20150225091000000,right_short_entry
SHFE.rb.HOT,0,2487,20150225103500000,left_short_exit
DCE.i.HOT,0,480,20150225103500000,right_short_exit
SHFE.rb.HOT,-1,2487,20150227100500000,left_short_entry
DCE.i.HOT,1,487,20150227100500000,right_short_entry
SHFE.rb.HOT,0,2471,20150227145500000,收盘平仓
DCE.i.HOT,0,485,20150227145500000,收盘平仓
SHFE.rb.HOT,-1,2413,20150307000000000,left_short_entry
DCE.i.HOT,1,449,20150307000000000,right_short_entry
SHFE.rb.HOT,0,2399,20150309145500000,收盘平仓
DCE.i.HOT,0,455,20150309145500000,收盘平仓
SHFE.rb.HOT,1,2531,20150323090500000,left_long_entry
DCE.i.HOT,-1,435,20150323090500000,right_long_entry
SHFE.rb.HOT,0,2545,20150323145500000,收盘平仓
DCE.i.HOT,0,436,20150323145500000,收盘平仓
SHFE.rb.HOT,1,2470,20150330092500000,left_long_entry
DCE.i.HOT,-1,414,20150330092500000,right_long_entry
SHFE.rb.HOT,0,2460,20150330145500000,收盘平仓
DCE.i.HOT,0,409,20150330145500000,收盘平仓
SHFE.rb.HOT,1,2454,20150331000000000,left_long_entry
DCE.i.HOT,-1,403,20150331000000000,right_long_entry
SHFE.rb.HOT,0,2431,20150331145500000,收盘平仓
DCE.i.HOT,0,402,20150331145500000,收盘平仓
SHFE.rb.HOT,-1,2335,20150407090500000,left_short_entry
DCE.i.HOT,1,384,20150407090500000,right_short_entry
SHFE.rb.HOT,0,2311,20150407145500000,收盘平仓
DCE.i.HOT,0,387,20150407145500000,收盘平仓
SHFE.rb.HOT,-1,2272,20150413104000000,left_short_entry
DCE.i.HOT,1,379,20150413104000000,right_short_entry
SHFE.rb.HOT,0,2331,20150413145500000,收盘平仓
DCE.i.HOT,0,387,20150413145500000,收盘平仓
SHFE.rb.HOT,-1,2295,20150418000000000,left_short_entry
DCE.i.HOT,1,392.5,20150418000000000,right_short_entry
SHFE.rb.HOT,0,2280,20150420145500000,收盘平仓
DCE.i.HOT,0,387,20150420145500000,收盘平仓
SHFE.rb.HOT,1,2397,20150504101000000,left_long_entry
DCE.i.HOT,-1,417,20150504101000000,right_long_entry
SHFE.rb.HOT,0,2411,20150504145500000,收盘平仓
DCE.i.HOT,0,423,20150504145500000,收盘平仓
SHFE.rb.HOT,-1,2433,20150506142500000,left_short_entry
DCE.i.HOT,1,447.5,20150506142500000,right_short_entry
SHFE.rb.HOT,0,2430,20150506145500000,收盘平仓
DCE.i.HOT,0,444.5,20150506145500000,收盘平仓
SHFE.rb.HOT,-1,2403,20150512000000000,left_short_entry
DCE.i.HOT,1,441,20150512000000000,right_short_entry
SHFE.rb.HOT,0,2390,20150512145500000,收盘平仓
DCE.i.HOT,0,437,20150512145500000,收盘平仓
SHFE.rb.HOT,-1,1992,20150715095500000,left_short_entry
DCE.i.HOT,1,370.5,20150715095500000,right_short_entry
SHFE.rb.HOT,0,1986,20150715145500000,收盘平仓
DCE.i.HOT,0,367.5,20150715145500000,收盘平仓
SHFE.rb.HOT,1,2127,20150803091500000,left_long_entry
DCE.i.HOT,-1,376,20150803091500000,right_long_entry
SHFE.rb.HOT,0,2096,20150803105000000,left_long_exit
DCE.i.HOT,0,368,20150803105000000,right_long_exit
SHFE.rb.HOT,-1,2063,20150807000000000,left_short_entry
DCE.i.HOT,1,374.5,20150807000000000,right_short_entry
SHFE.rb.HOT,0,2060,20150807145500000,收盘平仓
DCE.i.HOT,0,369.5,20150807145500000,收盘平仓
SHFE.rb.HOT,-1,1956,20150831092000000,left_short_entry
DCE.i.HOT,1,382,20150831092000000,right_short_entry
SHFE.rb.HOT,0,1957,20150831145500000,收盘平仓
DCE.i.HOT,0,388,20150831145500000,收盘平仓
SHFE.rb.HOT,-1,1933,20150907090500000,left_short_entry
DCE.i.HOT,1,391,20150907090500000,right_short_entry
SHFE.rb.HOT,0,1920,20150907145500000,收盘平仓
DCE.i.HOT,0,383.5,20150907145500000,收盘平仓
SHFE.rb.HOT,1,1887,20150923000000000,left_long_entry
DCE.i.HOT,-1,373,20150923000000000,right_long_entry
SHFE.rb.HOT,0,1899,20150923145500000,收盘平仓
DCE.i.HOT,0,377.5,20150923145500000,收盘平仓
SHFE.rb.HOT,-1,1791,20151028101500000,left_short_entry
DCE.i.HOT,1,363,20151028101500000,right_short_entry
SHFE.rb.HOT,0,1790,20151028145500000,收盘平仓
DCE.i.HOT,0,358,20151028145500000,收盘平仓
SHFE.rb.HOT,-1,1788,20151030005500000,left_short_entry
DCE.i.HOT,1,363.5,20151030005500000,right_short_entry
SHFE.rb.HOT,0,1783,20151030145500000,收盘平仓
DCE.i.HOT,0,362.5,20151030145500000,收盘平仓
SHFE.rb.HOT,1,1782,20151106090500000,left_long_entry
DCE.i.HOT,-1,345,20151106090500000,right_long_entry
SHFE.rb.HOT,0,1792,20151106145500000,收盘平仓
DCE.i.HOT,0,347,20151106145500000,收盘平仓
SHFE.rb.HOT,1,1676,20151215002500000,left_long_entry
DCE.i.HOT,-1,293,20151215002500000,right_long_entry
SHFE.rb.HOT,0,1667,20151215111000000,left_long_exit
DCE.i.HOT,0,293.5,20151215111000000,right_long_exit
SHFE.rb.HOT,-1,1717,20151223005000000,left_short_entry
DCE.i.HOT,1,305.5,20151223005000000,right_short_entry
SHFE.rb.HOT,0,1719,20151223145500000,收盘平仓
DCE.i.HOT,0,303.5,20151223145500000,收盘平仓
SHFE.rb.HOT,1,1744,20151228142500000,left_long_entry
DCE.i.HOT,-1,309.5,20151228142500000,right_long_entry
SHFE.rb.HOT,0,1741,20151228145500000,收盘平仓
DCE.i.HOT,0,308.5,20151228145500000,收盘平仓
SHFE.rb.HOT,-1,1800,20151230000000000,left_short_entry
DCE.i.HOT,1,323,20151230000000000,right_short_entry
SHFE.rb.HOT,0,1777,20151230145500000,收盘平仓
DCE.i.HOT,0,321.5,20151230145500000,收盘平仓
SHFE.rb.HOT,-1,1749,20160109002000000,left_short_entry
DCE.i.HOT,1,309,20160109002000000,right_short_entry
SHFE.rb.HOT,0,1765,20160111095500000,left_short_exit
DCE.i.HOT,0,310,20160111095500000,right_short_exit
SHFE.rb.HOT,1,1773,20160115000000000,left_long_entry
DCE.i.HOT,-1,309,20160115000000000,right_long_entry
SHFE.rb.HOT,0,1774,20160115145500000,收盘平仓
DCE.i.HOT,0,305.5,20160115145500000,收盘平仓
SHFE.rb.HOT,-1,1834,20160128134500000,left_short_entry
DCE.i.HOT,1,323.5,20160128134500000,right_short_entry
SHFE.rb.HOT,0,1814,20160128145500000,收盘平仓
DCE.i.HOT,0,318,20160128145500000,收盘平仓
SHFE.rb.HOT,1,1875,20160216000000000,left_long_entry
DCE.i.HOT,-1,340.5,20160216000000000,right_long_entry
SHFE.rb.HOT,0,1865,20160216145500000,收盘平仓
DCE.i.HOT,0,338.5,20160216145500000,收盘平仓
SHFE.rb.HOT,-1,1948,20160223000000000,left_short_entry
DCE.i.HOT,1,375,20160223000000000,right_short_entry
SHFE.rb.HOT,0,1928,20160223145500000,收盘平仓
DCE.i.HOT,0,369,20160223145500000,收盘平仓
SHFE.rb.HOT,-1,2055,20160309000000000,left_short_entry
