date,closeprofit,positionprofit,dynbalance,fee
20131018,0,0,0,0
20131021,0,0,0,0
20131022,0,0,0,0
20131023,0,0,0,0
20131024,0,0,0,0
20131025,0,0,0,0
20131028,0,0,0,0
20131029,0,0,0,0
20131030,0,0,0,0
20131031,0,0,0,0
20131101,0,0,0,0
20131104,0,0,0,0
20131105,0,0,0,0
20131106,0,0,0,0
20131107,0,0,0,0
20131108,0,0,0,0
20131111,0,0,0,0
20131112,0,0,0,0
20131113,0,0,0,0
20131114,0,0,0,0
20131115,0,0,0,0
20131118,0,0,0,0
20131119,0,0,0,0
20131120,0,0,0,0
20131121,0,0,0,0
20131122,0,0,0,0
20131125,0,0,0,0
20131126,0,0,0,0
20131127,0,0,0,0
20131128,0,0,0,0
20131129,0,0,0,0
20131202,0,0,0,0
20131203,0,0,0,0
20131204,0,0,0,0
20131205,0,0,0,0
20131206,0,0,0,0
20131209,0,0,0,0
20131210,0,0,0,0
20131211,0,0,0,0
20131212,0,0,0,0
20131213,0,0,0,0
20131216,0,0,0,0
20131217,0,0,0,0
20131218,0,0,0,0
20131219,0,0,0,0
20131220,0,0,0,0
20131223,0,0,0,0
20131224,0,0,0,0
20131225,0,0,0,0
20131226,0,0,0,0
20131227,0,0,0,0
20131230,0,0,0,0
20131231,0,0,0,0
20140102,0,0,0,0
20140103,0,0,0,0
20140106,0,0,0,0
20140107,0,0,0,0
20140108,0,0,0,0
20140109,0,0,0,0
20140110,0,0,0,0
20140113,0,0,0,0
20140114,0,0,0,0
20140115,0,0,0,0
20140116,0,0,0,0
20140117,0,0,0,0
20140120,0,0,0,0
20140121,0,0,0,0
20140122,0,0,0,0
20140123,0,0,0,0
20140124,0,0,0,0
20140127,0,0,0,0
20140128,0,0,0,0
20140129,0,0,0,0
20140130,0,0,0,0
20140207,0,0,0,0
20140210,0,0,0,0
20140211,0,0,0,0
20140212,0,0,0,0
20140213,0,0,0,0
20140214,0,0,0,0
20140217,0,0,0,0
20140218,0,0,0,0
20140219,0,0,0,0
20140220,0,0,0,0
20140221,0,0,0,0
20140224,0,0,0,0
20140225,0,0,0,0
20140226,0,0,0,0
20140227,0,0,0,0
20140228,0,0,0,0
20140303,0,0,0,0
20140304,0,0,0,0
20140305,0,0,0,0
20140306,0,0,0,0
20140307,0,0,0,0
20140310,0,0,0,0
20140311,0,0,0,0
20140312,0,0,0,0
20140313,0,0,0,0
20140314,0,0,0,0
20140317,0,0,0,0
20140318,0,0,0,0
20140319,0,0,0,0
20140320,0,0,0,0
20140321,0,0,0,0
20140324,0,0,0,0
20140325,0,0,0,0
20140326,0,0,0,0
20140327,0,0,0,0
20140328,0,0,0,0
20140331,0,0,0,0
20140401,0,0,0,0
20140402,0,0,0,0
20140403,0,0,0,0
20140404,0,0,0,0
20140408,0,0,0,0
20140409,0,0,0,0
20140410,0,0,0,0
20140411,0,0,0,0
20140414,0,0,0,0
20140415,0,0,0,0
20140416,0,0,0,0
20140417,0,0,0,0
20140418,0,0,0,0
20140421,0,0,0,0
20140422,0,0,0,0
20140423,0,0,0,0
20140424,0,0,0,0
20140425,0,0,0,0
20140428,0,0,0,0
20140429,0,0,0,0
20140430,0,0,0,0
20140505,0,0,0,0
20140506,0,0,0,0
20140507,0,0,0,0
20140508,0,0,0,0
20140509,0,0,0,0
20140512,0,0,0,0
20140513,0,0,0,0
20140514,0,0,0,0
20140515,0,0,0,0
20140516,0,0,0,0
20140519,0,0,0,0
20140520,0,0,0,0
20140521,0,0,0,0
20140522,0,0,0,0
20140523,0,0,0,0
20140526,0,0,0,0
20140527,0,0,0,0
20140528,0,0,0,0
20140529,0,0,0,0
20140530,0,0,0,0
20140603,0,0,0,0
20140604,0,0,0,0
20140605,0,0,0,0
20140606,0,0,0,0
20140609,0,0,0,0
20140610,0,0,0,0
20140611,0,0,0,0
20140612,0,0,0,0
20140613,0,0,0,0
20140616,0,0,0,0
20140617,0,0,0,0
20140618,0,0,0,0
20140619,0,0,0,0
20140620,0,0,0,0
20140623,0,0,0,0
20140624,0,0,0,0
20140625,0,0,0,0
20140626,0,0,0,0
20140627,0,0,0,0
20140630,0,0,0,0
20140701,0,0,0,0
20140702,0,0,0,0
20140703,0,0,0,0
20140704,0,0,0,0
20140707,0,0,0,0
20140708,0,0,0,0
20140709,0,0,0,0
20140710,0,0,0,0
20140711,0,0,0,0
20140714,0,0,0,0
20140715,0,0,0,0
20140716,0,0,0,0
20140717,0,0,0,0
20140718,0,0,0,0
20140721,0,0,0,0
20140722,0,0,0,0
20140723,0,0,0,0
20140724,0,0,0,0
20140725,0,0,0,0
20140728,0,0,0,0
20140729,0,0,0,0
20140730,0,0,0,0
20140731,0,0,0,0
20140801,0,0,0,0
20140804,0,0,0,0
20140805,0,0,0,0
20140806,0,0,0,0
20140807,0,0,0,0
20140808,0,0,0,0
20140811,0,0,0,0
20140812,0,0,0,0
20140813,0,0,0,0
20140814,0,0,0,0
20140815,0,0,0,0
20140818,0,0,0,0
20140819,0,0,0,0
20140820,0,0,0,0
20140821,0,0,0,0
20140822,0,0,0,0
20140825,0,0,0,0
20140826,0,0,0,0
20140827,0,0,0,0
20140828,0,0,0,0
20140829,0,0,0,0
20140901,0,0,0,0
20140902,0,0,0,0
20140903,0,0,0,0
20140904,0,0,0,0
20140905,0,0,0,0
20140909,0,0,0,0
20140910,0,0,0,0
20140911,0,0,0,0
20140912,0,0,0,0
20140915,0,0,0,0
20140916,0,0,0,0
20140917,0,0,0,0
20140918,0,0,0,0
20140919,0,0,0,0
20140922,0,0,0,0
20140923,0,0,0,0
20140924,0,0,0,0
20140925,0,0,0,0
20140926,0,0,0,0
20140929,0,0,0,0
20140930,0,0,0,0
20141008,0,0,0,0
20141009,0,0,0,0
20141010,0,0,0,0
20141013,0,0,0,0
20141014,0,0,0,0
20141015,0,0,0,0
20141016,0,0,0,0
20141017,0,0,0,0
20141020,0,0,0,0
20141021,0,0,0,0
20141022,0,0,0,0
20141023,0,0,0,0
20141024,0,0,0,0
20141027,0,0,0,0
20141028,0,0,0,0
20141029,0,0,0,0
20141030,0,0,0,0
20141031,0,0,0,0
20141103,0,0,0,0
20141104,0,0,0,0
20141105,0,0,0,0
20141106,0,0,0,0
20141107,0,0,0,0
20141110,0,0,0,0
20141111,0,0,0,0
20141112,0,0,0,0
20141113,0,0,0,0
20141114,0,0,0,0
20141117,0,0,0,0
20141118,0,0,0,0
20141119,0,0,0,0
20141120,0,0,0,0
20141121,0,0,0,0
20141124,0,0,0,0
20141125,0,0,0,0
20141126,0,0,0,0
20141127,0,0,0,0
20141128,0,0,0,0
20141201,0,0,0,0
20141202,0,0,0,0
20141203,0,0,0,0
20141204,0,0,0,0
20141205,0,0,0,0
20141208,0,0,0,0
20141209,0,0,0,0
20141210,0,0,0,0
20141211,0,0,0,0
20141212,0,0,0,0
20141215,0,0,0,0
20141216,0,0,0,0
20141217,0,0,0,0
20141218,0,0,0,0
20141219,0,0,0,0
20141222,0,0,0,0
20141223,0,0,0,0
20141224,0,0,0,0
20141225,0,0,0,0
20141226,0,0,0,0
20141229,0,0,0,0
20141230,-180,0,-189.69,9.69
20141231,-180,0,-189.69,9.69
20150105,-180,0,-189.69,9.69
20150106,-180,0,-189.69,9.69
20150107,-180,0,-189.69,9.69
20150108,-180,0,-189.69,9.69
20150109,-180,0,-189.69,9.69
20150112,-180,0,-189.69,9.69
