code,time,direct,action,price,qty,tag,fee,barno
SHFE.rb.HOT,201412300040,SHORT,OPEN,2590,1,left_short_entry,2.59,13411
DCE.i.HOT,201412300040,LONG,OPEN,499,1,right_short_entry,2.99,13411
SHFE.rb.HOT,201412301500,SHORT,CLOSE,2608,1,收盘平仓,2.61,13460
DCE.i.HOT,201412301500,LONG,CLOSE,499,1,收盘平仓,1.5,13460
SHFE.rb.HOT,201501301110,LONG,OPEN,2495,1,left_long_entry,2.5,15343
DCE.i.HOT,201501301110,SHORT,OPEN,473,1,right_long_entry,2.84,15343
SHFE.rb.HOT,201501301500,LONG,CLOSE,2498,1,收盘平仓,2.5,15365
DCE.i.HOT,201501301500,SHORT,CLOSE,474,1,收盘平仓,1.42,15365
SHFE.rb.HOT,201502091130,SHORT,OPEN,2465,1,left_short_entry,2.47,15905
DCE.i.HOT,201502091130,LONG,OPEN,474,1,right_short_entry,2.84,15905
SHFE.rb.HOT,201502091500,SHORT,CLOSE,2477,1,收盘平仓,2.48,15923
DCE.i.HOT,201502091500,LONG,CLOSE,475,1,收盘平仓,1.43,15923
SHFE.rb.HOT,201502160925,LONG,OPEN,2536,1,left_long_entry,2.54,16348
DCE.i.HOT,201502160925,SHORT,OPEN,494,1,right_long_entry,2.96,16348
SHFE.rb.HOT,201502161100,LONG,CLOSE,2539,1,left_long_exit,2.54,16364
DCE.i.HOT,201502161100,SHORT,CLOSE,497,1,right_long_exit,1.49,16364
SHFE.rb.HOT,201502250915,SHORT,OPEN,2478,1,left_short_entry,2.48,16484
DCE.i.HOT,201502250915,LONG,OPEN,481,1,right_short_entry,2.89,16484
SHFE.rb.HOT,201502251040,SHORT,CLOSE,2486,1,left_short_exit,2.49,16498
DCE.i.HOT,201502251040,LONG,CLOSE,480,1,right_short_exit,1.44,16498
SHFE.rb.HOT,201502271010,SHORT,OPEN,2486,1,left_short_entry,2.49,16681
DCE.i.HOT,201502271010,LONG,OPEN,487,1,right_short_entry,2.92,16681
SHFE.rb.HOT,201502271500,SHORT,CLOSE,2471,1,收盘平仓,2.47,16712
DCE.i.HOT,201502271500,LONG,CLOSE,485,1,收盘平仓,1.46,16712
SHFE.rb.HOT,201503070005,SHORT,OPEN,2413,1,left_short_entry,2.41,17214
DCE.i.HOT,201503070005,LONG,OPEN,449,1,right_short_entry,2.69,17214
SHFE.rb.HOT,201503091500,SHORT,CLOSE,2399,1,收盘平仓,2.4,17270
DCE.i.HOT,201503091500,LONG,CLOSE,454,1,收盘平仓,1.36,17270
SHFE.rb.HOT,201503230910,LONG,OPEN,2531,1,left_long_entry,2.53,18157
DCE.i.HOT,201503230910,SHORT,OPEN,435,1,right_long_entry,2.61,18157
SHFE.rb.HOT,201503231500,LONG,CLOSE,2545,1,收盘平仓,2.55,18200
DCE.i.HOT,201503231500,SHORT,CLOSE,436,1,收盘平仓,1.31,18200
SHFE.rb.HOT,201503300930,LONG,OPEN,2471,1,left_long_entry,2.47,18626
