[2024.06.07 00:00:00 - info ] Trading session ???????0900[FD0900] state reset
[2024.06.07 00:00:00 - info ] Trading session ???????0915[FD0915] state reset
[2024.06.07 00:00:00 - info ] Trading session ???????0930[SD0930] state reset
[2024.06.07 00:00:00 - info ] 3978800 ticks received from exchange SHFE
[2024.06.07 00:00:02 - info ] 3979000 ticks received from exchange SHFE
[2024.06.07 00:00:04 - info ] 3979200 ticks received from exchange SHFE
[2024.06.07 00:00:07 - info ] 3979400 ticks received from exchange SHFE
[2024.06.07 00:00:10 - info ] 3979600 ticks received from exchange SHFE
[2024.06.07 00:00:13 - info ] 892800 ticks received from exchange INE
[2024.06.07 00:00:13 - info ] 3979800 ticks received from exchange SHFE
[2024.06.07 00:00:16 - info ] 3980000 ticks received from exchange SHFE
[2024.06.07 00:00:19 - info ] 3980200 ticks received from exchange SHFE
[2024.06.07 00:00:22 - info ] 3980400 ticks received from exchange SHFE
[2024.06.07 00:00:26 - info ] 3980600 ticks received from exchange SHFE
[2024.06.07 00:00:26 - info ] 893000 ticks received from exchange INE
[2024.06.07 00:00:29 - info ] 3980800 ticks received from exchange SHFE
[2024.06.07 00:00:32 - info ] 3981000 ticks received from exchange SHFE
[2024.06.07 00:00:35 - info ] 3981200 ticks received from exchange SHFE
[2024.06.07 00:00:39 - info ] 3981400 ticks received from exchange SHFE
[2024.06.07 00:00:42 - info ] 893200 ticks received from exchange INE
[2024.06.07 00:00:43 - info ] 3981600 ticks received from exchange SHFE
[2024.06.07 00:00:46 - info ] 3981800 ticks received from exchange SHFE
[2024.06.07 00:00:49 - info ] 3982000 ticks received from exchange SHFE
[2024.06.07 00:00:51 - info ] 3982200 ticks received from exchange SHFE
[2024.06.07 00:00:54 - info ] 893400 ticks received from exchange INE
[2024.06.07 00:00:54 - info ] 3982400 ticks received from exchange SHFE
[2024.06.07 00:00:58 - info ] 3982600 ticks received from exchange SHFE
[2024.06.07 00:01:01 - info ] 3982800 ticks received from exchange SHFE
[2024.06.07 00:01:05 - info ] 3983000 ticks received from exchange SHFE
[2024.06.07 00:01:08 - info ] 893600 ticks received from exchange INE
[2024.06.07 00:01:08 - info ] 3983200 ticks received from exchange SHFE
[2024.06.07 00:01:11 - info ] 3983400 ticks received from exchange SHFE
[2024.06.07 00:01:14 - info ] 3983600 ticks received from exchange SHFE
[2024.06.07 00:01:17 - info ] 3983800 ticks received from exchange SHFE
[2024.06.07 00:01:20 - info ] 3984000 ticks received from exchange SHFE
[2024.06.07 00:01:21 - info ] 893800 ticks received from exchange INE
[2024.06.07 00:01:22 - info ] 3984200 ticks received from exchange SHFE
[2024.06.07 00:01:24 - info ] 3984400 ticks received from exchange SHFE
[2024.06.07 00:01:26 - info ] 3984600 ticks received from exchange SHFE
[2024.06.07 00:01:29 - info ] 3984800 ticks received from exchange SHFE
[2024.06.07 00:01:32 - info ] 3985000 ticks received from exchange SHFE
[2024.06.07 00:01:35 - info ] 894000 ticks received from exchange INE
[2024.06.07 00:01:35 - info ] 3985200 ticks received from exchange SHFE
[2024.06.07 00:01:38 - info ] 3985400 ticks received from exchange SHFE
[2024.06.07 00:01:41 - info ] 3985600 ticks received from exchange SHFE
[2024.06.07 00:01:43 - info ] 3985800 ticks received from exchange SHFE
[2024.06.07 00:01:45 - info ] 3986000 ticks received from exchange SHFE
[2024.06.07 00:01:48 - info ] 3986200 ticks received from exchange SHFE
[2024.06.07 00:01:49 - info ] 894200 ticks received from exchange INE
[2024.06.07 00:01:51 - info ] 3986400 ticks received from exchange SHFE
[2024.06.07 00:01:54 - info ] 3986600 ticks received from exchange SHFE
[2024.06.07 00:01:57 - info ] 3986800 ticks received from exchange SHFE
[2024.06.07 00:02:00 - debug] RT tick block of SHFE.ni2409 resized to 15000
[2024.06.07 00:02:01 - info ] 3987000 ticks received from exchange SHFE
[2024.06.07 00:02:01 - debug] RT tick block of INE.bc2409 resized to 12500
[2024.06.07 00:02:03 - info ] 894400 ticks received from exchange INE
[2024.06.07 00:02:04 - info ] 3987200 ticks received from exchange SHFE
[2024.06.07 00:02:07 - info ] 3987400 ticks received from exchange SHFE
[2024.06.07 00:02:10 - info ] 3987600 ticks received from exchange SHFE
[2024.06.07 00:02:13 - info ] 3987800 ticks received from exchange SHFE
[2024.06.07 00:02:15 - info ] 894600 ticks received from exchange INE
[2024.06.07 00:02:15 - info ] 3988000 ticks received from exchange SHFE
[2024.06.07 00:02:18 - info ] 3988200 ticks received from exchange SHFE
[2024.06.07 00:02:21 - info ] 3988400 ticks received from exchange SHFE
[2024.06.07 00:02:23 - info ] 3988600 ticks received from exchange SHFE
[2024.06.07 00:02:24 - debug] RT tick block of SHFE.ag2409 resized to 17500
[2024.06.07 00:02:25 - info ] 3988800 ticks received from exchange SHFE
[2024.06.07 00:02:27 - info ] 3989000 ticks received from exchange SHFE
[2024.06.07 00:02:28 - info ] 894800 ticks received from exchange INE
[2024.06.07 00:02:29 - info ] 3989200 ticks received from exchange SHFE
[2024.06.07 00:02:31 - info ] 3989400 ticks received from exchange SHFE
[2024.06.07 00:02:33 - info ] 3989600 ticks received from exchange SHFE
[2024.06.07 00:02:34 - info ] 3989800 ticks received from exchange SHFE
[2024.06.07 00:02:36 - info ] 3990000 ticks received from exchange SHFE
