[2024.05.15 18:01:57 - info ] Backtest time range is set to be [202101040900,202101061500] via config
[2024.05.15 18:01:57 - info ] Tick data replaying is enabled
[2024.05.15 18:01:57 - error] No session configured for INE.ec
[2024.05.15 18:01:57 - error] No session configured for GFEX.lc
[2024.05.15 18:01:57 - error] No session configured for GFEX.si
[2024.05.15 18:01:57 - error] No session configured for SHFE.br
[2024.05.15 18:01:57 - error] No session configured for SHFE.ao
[2024.05.15 18:01:57 - error] No session configured for CFFEX.IM
[2024.05.15 18:01:57 - error] No session configured for CFFEX.TL
[2024.05.15 18:01:57 - error] No session configured for CZCE.PK
[2024.05.15 18:01:57 - error] No session configured for CZCE.PX
[2024.05.15 18:01:57 - error] No session configured for CZCE.SH
[2024.05.15 18:01:57 - info ] Commodities configuration file ../common/commodities.json loaded
[2024.05.15 18:01:57 - warning] Commodity INE.ec not found, contract ec2408 skipped
[2024.05.15 18:01:57 - warning] Commodity INE.ec not found, contract ec2504 skipped
[2024.05.15 18:01:57 - warning] Commodity INE.ec not found, contract ec2410 skipped
[2024.05.15 18:01:57 - warning] Commodity INE.ec not found, contract ec2412 skipped
[2024.05.15 18:01:57 - warning] Commodity INE.ec not found, contract ec2406 skipped
[2024.05.15 18:01:57 - warning] Commodity INE.ec not found, contract ec2502 skipped
[2024.05.15 18:01:57 - warning] Commodity GFEX.lc not found, contract lc2503 skipped
[2024.05.15 18:01:57 - warning] Commodity GFEX.si not found, contract si2412 skipped
[2024.05.15 18:01:57 - warning] Commodity GFEX.si not found, contract si2408 skipped
[2024.05.15 18:01:57 - warning] Commodity GFEX.si not found, contract si2406 skipped
[2024.05.15 18:01:57 - warning] Commodity GFEX.lc not found, contract lc2405 skipped
[2024.05.15 18:01:57 - warning] Commodity GFEX.si not found, contract si2409 skipped
[2024.05.15 18:01:57 - warning] Commodity GFEX.si not found, contract si2407 skipped
[2024.05.15 18:01:57 - warning] Commodity GFEX.lc not found, contract lc2410 skipped
[2024.05.15 18:01:57 - warning] Commodity GFEX.si not found, contract si2411 skipped
[2024.05.15 18:01:57 - warning] Commodity GFEX.lc not found, contract lc2411 skipped
[2024.05.15 18:01:57 - warning] Commodity GFEX.lc not found, contract lc2504 skipped
[2024.05.15 18:01:57 - warning] Commodity GFEX.lc not found, contract lc2501 skipped
[2024.05.15 18:01:57 - warning] Commodity GFEX.si not found, contract si2410 skipped
[2024.05.15 18:01:57 - warning] Commodity GFEX.lc not found, contract lc2407 skipped
[2024.05.15 18:01:57 - warning] Commodity GFEX.lc not found, contract lc2409 skipped
[2024.05.15 18:01:57 - warning] Commodity GFEX.si not found, contract si2405 skipped
[2024.05.15 18:01:57 - warning] Commodity GFEX.lc not found, contract lc2502 skipped
[2024.05.15 18:01:57 - warning] Commodity GFEX.lc not found, contract lc2406 skipped
[2024.05.15 18:01:57 - warning] Commodity GFEX.lc not found, contract lc2408 skipped
[2024.05.15 18:01:57 - warning] Commodity GFEX.lc not found, contract lc2412 skipped
[2024.05.15 18:01:57 - warning] Commodity SHFE.ao not found, contract ao2407 skipped
[2024.05.15 18:01:57 - warning] Commodity SHFE.br not found, contract br2501 skipped
[2024.05.15 18:01:57 - warning] Commodity SHFE.br not found, contract br2411 skipped
[2024.05.15 18:01:57 - warning] Commodity SHFE.br not found, contract br2406 skipped
[2024.05.15 18:01:57 - warning] Commodity SHFE.ao not found, contract ao2405 skipped
[2024.05.15 18:01:57 - warning] Commodity SHFE.br not found, contract br2408 skipped
[2024.05.15 18:01:57 - warning] Commodity SHFE.br not found, contract br2410 skipped
[2024.05.15 18:01:57 - warning] Commodity SHFE.br not found, contract br2407 skipped
[2024.05.15 18:01:57 - warning] Commodity SHFE.ao not found, contract ao2411 skipped
[2024.05.15 18:01:57 - warning] Commodity SHFE.ao not found, contract ao2503 skipped
[2024.05.15 18:01:57 - warning] Commodity SHFE.br not found, contract br2409 skipped
[2024.05.15 18:01:57 - warning] Commodity SHFE.ao not found, contract ao2504 skipped
[2024.05.15 18:01:57 - warning] Commodity SHFE.ao not found, contract ao2410 skipped
[2024.05.15 18:01:57 - warning] Commodity SHFE.ao not found, contract ao2502 skipped
[2024.05.15 18:01:57 - warning] Commodity SHFE.br not found, contract br2504 skipped
[2024.05.15 18:01:57 - warning] Commodity SHFE.br not found, contract br2412 skipped
[2024.05.15 18:01:57 - warning] Commodity SHFE.br not found, contract br2405 skipped
[2024.05.15 18:01:57 - warning] Commodity SHFE.ao not found, contract ao2408 skipped
[2024.05.15 18:01:57 - warning] Commodity SHFE.ao not found, contract ao2501 skipped
[2024.05.15 18:01:57 - warning] Commodity SHFE.br not found, contract br2503 skipped
[2024.05.15 18:01:57 - warning] Commodity SHFE.ao not found, contract ao2412 skipped
[2024.05.15 18:01:57 - warning] Commodity SHFE.ao not found, contract ao2406 skipped
[2024.05.15 18:01:57 - warning] Commodity SHFE.ao not found, contract ao2409 skipped
[2024.05.15 18:01:57 - warning] Commodity SHFE.br not found, contract br2502 skipped
[2024.05.15 18:01:57 - warning] Commodity CFFEX.IM not found, contract IM2412 skipped
[2024.05.15 18:01:57 - warning] Commodity CFFEX.IM not found, contract IM2409 skipped
[2024.05.15 18:01:57 - warning] Commodity CFFEX.IM not found, contract IM2405 skipped
[2024.05.15 18:01:57 - warning] Commodity CFFEX.TL not found, contract TL2409 skipped
[2024.05.15 18:01:57 - warning] Commodity CFFEX.IM not found, contract IM2406 skipped
[2024.05.15 18:01:57 - warning] Commodity CFFEX.TL not found, contract TL2412 skipped
[2024.05.15 18:01:57 - warning] Commodity CFFEX.TL not found, contract TL2406 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.PX not found, contract PX407 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.PX not found, contract PX412 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.PK not found, contract PK410 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.PX not found, contract PX409 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.PK not found, contract PK504 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.SH not found, contract SH501 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.PK not found, contract PK411 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.PX not found, contract PX504 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.SH not found, contract SH410 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.PX not found, contract PX405 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.SH not found, contract SH409 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.SH not found, contract SH502 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.PK not found, contract PK412 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.PX not found, contract PX503 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.SH not found, contract SH411 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.SH not found, contract SH504 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.SH not found, contract SH408 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.SH not found, contract SH503 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.SH not found, contract SH405 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.PX not found, contract PX502 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.PX not found, contract PX411 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.PK not found, contract PK503 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.PX not found, contract PX501 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.PX not found, contract PX410 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.SH not found, contract SH407 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.PX not found, contract PX406 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.PK not found, contract PK501 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.PX not found, contract PX408 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.SH not found, contract SH406 skipped
[2024.05.15 18:01:57 - warning] Commodity CZCE.SH not found, contract SH412 skipped
[2024.05.15 18:01:57 - info ] Contracts configuration file ../common/contracts.json loaded, 5 exchanges
[2024.05.15 18:01:57 - info ] 36 items of fees template loaded
[2024.05.15 18:01:57 - info ] 147576 items of back m5 data of CFFEX.IF.HOT directly loaded from dsb file, from 2004160920 to 3203231500
